+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1023]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1021]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1019]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1017]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1024]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1022]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1015]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1013]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1023]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1021]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1020]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1018]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1011]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1009]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1019]/D|
