+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                      clk |                      clk |                                                                                          tx_byte_reg[0]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[5]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[7]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[6]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[4]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[2]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[3]/D|
|                      clk |                      clk |                                                                                          tx_byte_reg[1]/D|
|                      clk |                      clk |                                                                          mmcm_counter_count_reg_reg[10]/D|
|                      clk |                      clk |                                                                          mmcm_counter_count_reg_reg[13]/D|
|                      clk |                      clk |                                                                          mmcm_counter_count_reg_reg[14]/D|
|                      clk |                      clk |                                                                          mmcm_counter_count_reg_reg[12]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[5]/D|
|                      clk |                      clk |                                                                          mmcm_counter_count_reg_reg[15]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[4]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[8]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[2]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[6]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[0]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[1]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[9]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[7]/D|
|                      clk |                      clk |                                                                          mmcm_counter_count_reg_reg[11]/D|
|                      clk |                      clk |                                                                           mmcm_counter_count_reg_reg[3]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[17]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[22]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[16]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[23]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[20]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[21]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[19]/D|
|       clk_out1_clk_wiz_0 |                      clk |                                                                          mmcm_counter_count_reg_reg[18]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
