rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,0,24,863821,857426,847435,842887,852827,837523,842017,839733,835653,842150,820352,818665,814175,808192,802209,813625,807343,797440,804546,800444
1,0,0,24,868624,862425,852337,847631,857586,842369,846805,844562,840366,846870,824829,823192,818600,812605,806648,818128,811805,801979,808910,804878
2,1,0,24,863898,857598,847553,843079,852885,837757,842157,839923,835748,842298,820580,818874,814446,808394,802437,813949,807556,797755,804743,800654
3,0,0,24,868678,862230,852360,847741,857693,842413,846901,844590,840433,846938,825011,823134,818738,812743,806689,818219,811897,802042,809043,804820
4,1,0,24,863744,857332,847478,842891,852831,837567,842068,839788,835571,842155,820454,818729,814297,808261,802348,814043,807426,797536,804491,800435
5,0,0,24,868482,862110,852122,847538,857600,842167,846674,844419,840108,846813,824738,822950,818504,812556,806514,818228,811663,801791,808709,804645
6,1,0,24,864073,857613,847643,843185,853151,837731,842277,840074,835802,842394,820710,818830,814532,808438,802564,814084,807609,797771,804803,800696
7,0,0,24,868756,862256,852217,847683,857629,842326,846817,844593,840351,846938,824884,823059,818621,812649,806667,818272,811664,801875,808954,804733
8,1,0,24,864143,857738,847733,843232,853116,837845,842337,840132,835886,842441,820747,819001,814503,808468,802659,814173,807544,797914,804928,800711
9,0,0,24,868679,862282,852215,847628,857607,842339,846921,844547,840364,846864,824936,823158,818596,812529,806740,818313,811657,801975,808935,804729
10,1,0,24,864093,857637,847676,843235,853161,837828,842300,840083,835914,842379,820745,819008,814458,808446,802689,814114,807537,797934,804913,800755
11,0,0,24,868688,862320,852315,847737,857761,842427,846830,844565,840386,847019,824938,823195,818542,812692,806825,818319,811702,802044,809052,804898
12,1,0,24,864085,857607,847638,843213,853050,837775,842256,839981,835831,842425,820659,818948,814392,808414,802635,814145,807579,797845,804942,800672
13,0,0,24,868700,862309,852267,847791,857685,842421,846812,844545,840375,847023,824850,823222,818530,812657,806748,818341,811819,802039,809033,804916
14,1,0,24,863991,857528,847503,843142,852930,837715,842132,839892,835715,842254,820489,818886,814243,808239,802467,814014,807457,797758,804790,800716
15,0,0,24,868619,862081,851992,847532,857574,842205,846638,844383,840104,846855,824669,823015,818367,812449,806566,818170,811558,801834,808860,804707
16,1,0,24,863982,857568,847491,843043,853081,837743,842133,839981,835681,842331,820497,818949,814310,808315,802523,813995,807489,797757,804825,800715
17,0,0,24,868716,862393,852291,847760,857885,842502,846824,844715,840342,847121,824874,823183,818645,812625,806788,818373,811817,802041,809034,804945
18,1,0,24,864177,857759,847701,843255,853287,837965,842317,840114,835854,842543,820666,819025,814542,808463,802769,814291,807768,797883,804998,800917
19,0,0,24,868600,862156,852153,847657,857699,842381,846748,844433,840210,846939,824717,823069,818502,812492,806685,818260,811804,801888,808912,804822
20,1,0,24,863851,857354,847449,843087,852991,837687,842082,839858,835634,842247,820407,818706,814199,808130,802479,814148,807526,797666,804718,800605
21,0,0,24,868693,862284,852264,847848,857771,842464,846850,844523,840301,847012,824900,823118,818595,812459,806778,818512,811774,801932,809042,804929
22,1,0,24,863836,857342,847443,843110,853019,837670,842114,839749,835553,842203,820459,818737,814237,808050,802432,814172,807410,797694,804764,800614
23,0,0,24,868656,862264,852292,847916,857857,842512,846927,844541,840352,847052,824901,823233,818625,812444,806842,818611,811841,802134,809166,804927
24,1,0,24,863918,857447,847393,843061,853014,837732,842034,839772,835536,842168,820405,818728,814195,807964,802547,814093,807339,797731,804697,800592
25,0,0,24,868586,862157,852030,847674,857778,842370,846706,844343,840181,846815,824714,823076,818450,812374,806663,818391,811620,801827,808819,804797
26,1,0,24,864091,857554,847526,843252,853133,837807,842298,839982,835758,842454,820630,818993,814506,808356,802686,814348,807607,797880,804873,800769
27,0,0,24,868749,862264,852296,847824,857795,842492,846941,844691,840334,847010,824891,823183,818688,812566,806841,818525,811907,802147,809001,804912
28,1,0,24,864109,857738,847679,843304,853337,837961,842387,840144,835888,842458,820653,819060,814543,808353,802741,814421,807781,797999,804867,800806
29,0,0,24,868651,862178,852186,847744,857962,842442,846871,844485,840287,847012,824749,823139,818575,812542,806810,818437,811834,802063,808897,804809
30,1,0,24,864268,857894,847776,843414,853561,838164,842448,840201,835951,842681,820770,819133,814600,808601,802936,814437,807909,798146,805015,800885
31,0,0,24,868789,862242,852124,847680,857866,842473,846809,844556,840224,846974,824789,823086,818561,812694,806807,818412,811845,802016,808946,804814
32,1,0,24,864188,857797,847625,843363,853332,837945,842373,840042,835851,842597,820647,819077,814612,808605,802730,814355,807754,798076,804952,800854
33,0,0,24,868782,862378,852199,847836,857873,842429,846908,844496,840323,846975,824838,823153,818757,812691,806813,818476,811898,802094,808971,804869
34,1,0,24,864181,857687,847552,843335,853345,837935,842384,840106,835853,842414,820708,818871,814590,808479,802731,814349,807796,798008,804863,800783
35,0,0,24,868897,862323,852288,847899,858049,842583,846937,844691,840436,847051,824959,823207,818834,812652,806872,818546,812040,802187,809108,804935
36,1,0,24,863987,857537,847490,843181,853157,837769,842133,839842,835705,842284,820504,818763,814490,808291,802598,814151,807721,797819,804755,800663
37,0,0,24,868788,862361,852253,847846,857921,842559,846931,844602,840393,847031,824919,823228,818814,812666,806933,818526,812060,802165,809113,804971
38,1,0,24,864058,857642,847562,843291,853343,837904,842335,839945,835794,842363,820582,818918,814543,808439,802709,814300,807823,797962,804831,800787
39,0,0,24,868601,862297,852076,847723,857899,842438,846816,844433,840305,846893,824786,823148,818629,812582,806757,818389,811859,802024,808996,804795
40,1,0,24,864300,857885,847876,843446,853539,838051,842543,840254,836073,842616,820885,819169,814713,808563,802918,814534,808070,798177,805163,801027
41,0,0,24,869073,862694,852498,848046,858241,842820,847225,844894,840653,847284,825228,823454,818973,812889,807104,818738,812255,802420,809373,805266
42,1,0,24,864093,857534,847420,843126,853212,837807,842226,840012,835710,842295,820599,818905,814539,808278,802582,814175,807739,797825,804828,800681
43,0,0,24,868827,862275,852205,847817,857919,842546,846893,844574,840397,846909,824953,823180,818790,812690,806825,818548,812019,802071,809099,804934
44,1,0,24,863964,857584,847476,843217,853243,837873,842205,839855,835706,842291,820608,818897,814481,808335,802622,814212,807719,797890,804749,800782
45,0,0,24,868739,862388,852315,847861,857978,842634,846950,844650,840477,846993,825020,823235,818853,812755,806935,818473,812053,802207,809123,805007
46,1,0,24,863711,857461,847280,842978,853044,837621,842000,839781,835552,842183,820483,818736,814315,808231,802457,813890,807389,797725,804566,800505
47,0,0,24,868689,862384,852221,847701,857887,842394,846805,844443,840268,847007,824924,823121,818630,812624,806724,818404,811797,801970,809002,804802
48,1,0,24,864224,857870,847729,843377,853486,838034,842475,840099,835964,842537,820837,819064,814641,808546,802757,814367,807890,797998,805136,800882
49,0,0,24,868794,862320,852165,847676,857848,842408,846840,844401,840286,846878,824852,823085,818636,812594,806762,818337,811904,801948,809035,804815
50,1,0,24,864337,857756,847641,843340,853405,838090,842456,840077,835943,842447,820824,819083,814769,808622,802824,814369,807868,797951,805086,800852
51,0,0,24,869030,862453,852430,847975,858126,842808,847106,844648,840611,847170,825136,823414,818923,812921,807000,818639,812214,802272,809307,805065
52,1,0,24,864444,857748,847810,843549,853556,838216,842596,840150,836128,842568,820991,819118,814835,808695,802980,814408,808026,798215,805208,801099
53,0,0,24,868676,862118,852100,847727,857767,842484,846765,844390,840243,846829,824900,823034,818621,812499,806799,818267,811877,801952,808969,804779
54,1,0,24,864198,857641,847579,843328,853446,838036,842405,840052,835929,842448,820890,819001,814541,808516,802763,814296,807919,798053,805021,800911
55,0,0,24,868987,862582,852366,848001,858244,842817,847134,844698,840606,847161,825240,823388,818808,812811,807045,818589,812234,802341,809270,805102
56,1,0,24,864184,857711,847574,843272,853320,837995,842326,839893,835895,842343,820834,819026,814528,808449,802717,814184,807820,798009,804924,800866
57,0,0,24,868780,862242,852284,847798,857939,842598,846987,844559,840458,846912,825070,823218,818700,812727,806803,818440,811985,802140,809073,804887
58,1,0,24,864153,857606,847667,843358,853383,838036,842430,840106,835954,842376,820889,819017,814479,808522,802744,814309,807816,798033,804953,800889
59,0,0,24,868863,862362,852219,847875,857985,842644,846922,844631,840416,846931,825078,823176,818626,812738,806855,818466,812015,802086,809074,805002
60,1,0,24,864089,857427,847398,843132,853198,837876,842173,839820,835728,842277,820638,818810,814352,808373,802502,814122,807611,797858,804778,800706
61,0,0,24,868556,862075,851924,847518,857627,842294,846555,844220,840139,846676,824841,822852,818367,812413,806502,818127,811717,801823,808797,804688
62,1,0,24,864211,857620,847529,843263,853200,837959,842166,839928,835861,842311,820806,818889,814487,808387,802575,814098,807778,797860,804885,800762
63,0,0,24,868465,861944,851853,847558,857525,842340,846469,844262,840086,846627,824719,822862,818290,812303,806464,818101,811666,801789,808844,804596
64,1,0,24,864079,857504,847462,843232,853214,837950,842184,839937,835759,842259,820726,818862,814361,808305,802482,814181,807667,797822,804899,800677
65,0,0,24,868845,862385,852188,847813,857984,842599,846827,844509,840413,847023,825088,823216,818674,812804,806822,818409,812019,802133,809138,804928
66,1,0,24,864181,857605,847444,843169,853249,837876,842181,839915,835780,842389,820666,818863,814422,808495,802584,814062,807721,797840,804890,800734
67,0,0,24,868676,862253,851977,847596,857647,842408,846574,844430,840140,846775,824738,822943,818414,812537,806630,818127,811733,801940,808964,804762
68,1,0,24,864410,857796,847637,843409,853326,838042,842366,840136,835887,842545,820728,818999,814612,808576,802766,814213,807911,798115,805120,800916
69,0,0,24,868722,862232,852159,847729,857747,842427,846739,844462,840202,846903,824759,823049,818454,812650,806725,818238,811861,802042,809019,804842
70,1,0,24,864018,857545,847464,843190,853150,837863,842133,839921,835768,842283,820469,818817,814235,808411,802671,814014,807656,797849,804886,800743
71,0,0,24,868629,862127,851968,847675,857610,842381,846586,844389,840200,846718,824639,822962,818534,812598,806734,818156,811847,801977,808915,804748
72,1,0,24,864299,857660,847691,843384,853278,838024,842257,840018,835909,842411,820621,818952,814584,808623,802819,814135,807862,798069,805059,800908
73,0,0,24,868797,862131,852167,847707,857761,842460,846677,844360,840260,846821,824601,822964,818548,812702,806760,818131,811967,801994,808987,804773
74,1,0,24,864332,857780,847782,843396,853370,838093,842274,840091,835970,842435,820677,819018,814648,808700,802867,814276,807943,798099,805108,800942
75,0,0,24,868717,862192,852113,847665,857713,842460,846580,844340,840300,846741,824637,822987,818513,812624,806748,818335,811880,802020,808920,804810
76,1,0,24,864194,857703,847597,843331,853340,837939,842179,839933,835890,842333,820562,818968,814570,808577,802752,814283,807908,798026,804908,800796
77,0,0,24,868527,862100,851948,847607,857614,842324,846489,844278,840176,846688,824565,822935,818416,812533,806643,818195,811792,801928,808918,804665
78,1,0,24,864204,857616,847548,843258,853188,837939,842155,839977,835911,842264,820498,818890,814580,808520,802663,814225,807791,798009,804999,800781
79,0,0,24,868986,862374,852235,847860,857863,842580,846860,844581,840527,846970,824791,823129,818810,812681,806856,818491,812016,802207,809189,804926
80,1,0,24,864145,857487,847401,843120,853007,837769,842047,839841,835775,842130,820301,818657,814414,808332,802505,813953,807594,797887,804795,800617
81,0,0,24,869013,862513,852373,847949,857942,842658,846938,844749,840614,847102,824898,823223,818727,812886,806888,818387,812108,802273,809243,805042
82,1,0,24,864241,857625,847558,843293,853151,837872,842218,840012,835934,842359,820476,818775,814343,808475,802598,814041,807743,797975,804911,800845
83,0,0,24,868908,862268,852197,847896,857813,842531,846802,844604,840484,846911,824816,822993,818582,812692,806754,818231,811963,802091,809057,804886
84,1,0,24,864409,857812,847763,843494,853443,838158,842401,840276,836168,842540,820799,819008,814631,808652,802801,814198,808038,798210,805156,800922
85,0,0,24,869161,862562,852508,848165,858130,842821,847069,844897,840767,847233,825100,823335,818911,813022,807070,818547,812263,802431,809291,805093
