rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,-1,6913317,6860717,6794644,6755380,6827188,6715894,6734855,6733599,6691168,6745193,6567143,6560787,6506716,6472081,6421169,6510239,6466080,6385166,6442362,6408286
1,0,1,-1,6928586,6875941,6809407,6770825,6843844,6731399,6749538,6749191,6706071,6761034,6582058,6575418,6521336,6486548,6435181,6526040,6481675,6400365,6456848,6422665
2,31,1,-1,6913447,6861306,6794318,6755502,6829008,6716362,6734028,6733589,6690615,6745114,6567186,6560487,6506273,6472267,6421255,6510451,6466731,6385842,6442712,6408268
3,0,1,-1,6927755,6874253,6808035,6768782,6843374,6730902,6747968,6747913,6704316,6758884,6580049,6573535,6519594,6486131,6434876,6525034,6479659,6399468,6455930,6421694
4,31,1,-1,6913060,6860264,6793869,6755684,6829215,6716654,6733721,6733413,6690503,6744922,6567006,6560665,6506684,6472249,6421615,6510652,6465702,6386248,6442769,6408640
5,0,1,-1,6926999,6874641,6807764,6769911,6843763,6731187,6748045,6747360,6704828,6759862,6580452,6574121,6520429,6485981,6434565,6524472,6479902,6399560,6456969,6422532
6,31,1,-1,6913035,6860124,6793665,6754935,6828482,6715814,6732894,6732786,6690462,6745415,6566888,6560046,6506708,6472514,6421407,6510793,6465874,6384920,6442482,6408463
7,0,1,-1,6927154,6874994,6808835,6769775,6843404,6730869,6748214,6747233,6704990,6759931,6580510,6574577,6520868,6486852,6434985,6525484,6480145,6398799,6456802,6422379
8,31,1,-1,6912629,6860916,6794273,6755328,6829064,6716367,6733872,6733546,6690606,6746050,6566933,6561314,6506969,6473206,6421658,6511880,6467231,6385807,6442973,6409243
9,0,1,-1,6928029,6875212,6808538,6768762,6844143,6730706,6747795,6746861,6705110,6760313,6580430,6574655,6519483,6486601,6434702,6525850,6481023,6399891,6456863,6422914
10,31,1,-1,6913296,6860485,6793820,6754810,6829509,6716541,6733124,6732304,6690680,6745237,6566926,6560668,6506440,6472962,6421301,6511359,6466894,6385953,6443193,6409591
11,0,1,-1,6927351,6875133,6808375,6768784,6844511,6731354,6747599,6747560,6705120,6760361,6580165,6574647,6519596,6487188,6435472,6526042,6480654,6399835,6457168,6423063
12,31,1,-1,6911622,6859554,6792286,6754379,6828943,6715918,6732667,6731739,6690193,6744653,6565622,6559786,6506168,6472621,6421578,6510499,6466113,6385088,6443109,6408707
13,0,1,-1,6926920,6875599,6808559,6769362,6843752,6731073,6748118,6747348,6704736,6760329,6580550,6574294,6520453,6487512,6435379,6525757,6480794,6399281,6457721,6422700
14,31,1,-1,6913297,6859657,6793369,6754314,6829676,6716351,6732939,6732494,6689945,6744569,6566255,6560492,6505523,6472161,6421464,6510328,6466150,6385215,6443598,6408638
15,0,1,-1,6928010,6874850,6808088,6768969,6844269,6731621,6748432,6748124,6704787,6759584,6580837,6574621,6519508,6486323,6434792,6525217,6480420,6399799,6457452,6422563
16,31,1,-1,6913084,6859682,6792853,6754453,6828810,6716154,6733594,6732273,6689522,6744001,6565982,6560294,6505098,6472121,6421308,6510363,6465644,6386191,6443115,6408323
17,0,1,-1,6928910,6875197,6808743,6769652,6844581,6731612,6748777,6747913,6704940,6759728,6580658,6575065,6520676,6487088,6435422,6525089,6480514,6399930,6457718,6422923
