rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,0,14,76733,76309,75493,75499,76182,69406,68208,68735,68329,68205,77021,76321,75778,76244,75861,65892,65143,65345,65768,65224
1,0,0,14,77324,76902,76092,76074,76768,69864,68690,69203,68804,68679,77613,76906,76364,76830,76430,66346,65602,65794,66236,65693
2,1,0,14,76746,76342,75530,75511,76191,69417,68244,68746,68362,68234,77019,76331,75790,76259,75867,65902,65161,65353,65789,65245
3,0,0,14,77332,76922,76100,76081,76761,69883,68717,69215,68820,68706,77613,76906,76370,76831,76444,66367,65615,65808,66245,65705
4,1,0,14,76744,76348,75519,75517,76189,69419,68255,68746,68356,68252,77037,76324,75786,76253,75859,65910,65167,65348,65794,65248
5,0,0,14,77337,76931,76088,76079,76784,69879,68711,69215,68806,68713,77622,76906,76370,76843,76444,66361,65610,65811,66250,65696
6,1,0,14,76748,76337,75499,75505,76191,69394,68244,68737,68342,68240,77023,76315,75787,76247,75842,65908,65153,65353,65790,65235
7,0,0,14,77333,76933,76087,76079,76780,69861,68704,69208,68818,68702,77621,76904,76381,76845,76433,66376,65620,65819,66258,65704
8,1,0,14,76755,76349,75522,75514,76197,69403,68249,68734,68357,68245,77041,76333,75786,76262,75861,65927,65179,65362,65803,65255
9,0,0,14,77336,76931,76096,76081,76780,69867,68703,69208,68818,68702,77619,76903,76382,76854,76447,66383,65633,65830,66265,65718
10,1,0,14,76757,76349,75507,75499,76192,69396,68232,68743,68356,68226,77026,76312,75790,76260,75857,65923,65172,65364,65800,65246
11,0,0,14,77341,76925,76085,76062,76775,69874,68699,69220,68815,68686,77620,76912,76375,76856,76430,66374,65619,65811,66261,65712
12,1,0,14,76759,76348,75524,75508,76206,69413,68248,68754,68363,68238,77040,76339,75800,76274,75864,65923,65181,65373,65811,65257
13,0,0,14,77344,76932,76088,76080,76776,69872,68708,69215,68820,68693,77629,76920,76376,76848,76434,66375,65634,65819,66266,65712
14,1,0,14,76777,76362,75521,75521,76210,69419,68247,68763,68373,68240,77052,76350,75798,76275,75861,65927,65183,65381,65811,65266
15,0,0,14,77351,76927,76090,76072,76773,69874,68703,69222,68827,68689,77626,76916,76383,76845,76416,66369,65627,65816,66257,65708
16,1,0,14,76747,76346,75507,75495,76181,69405,68229,68738,68349,68222,77028,76327,75786,76262,75833,65913,65166,65363,65788,65243
17,0,0,14,77334,76922,76068,76065,76754,69867,68692,69206,68814,68685,77605,76914,76376,76839,76414,66375,65619,65827,66237,65694
18,1,0,14,76777,76371,75517,75523,76202,69426,68261,68768,68374,68253,77054,76357,75808,76292,75866,65942,65194,65388,65806,65264
19,0,0,14,77343,76929,76077,76073,76758,69880,68706,69213,68818,68689,77621,76915,76377,76850,76426,66379,65624,65825,66240,65713
20,1,0,14,76792,76382,75544,75541,76210,69442,68278,68777,68386,68262,77069,76362,75822,76306,75893,65955,65205,65404,65829,65282
21,0,0,14,77333,76933,76069,76075,76761,69877,68710,69220,68810,68690,77619,76918,76387,76866,76428,66388,65634,65821,66263,65717
22,1,0,14,76758,76355,75498,75514,76186,69409,68251,68752,68355,68229,77025,76335,75796,76293,75848,65926,65183,65374,65810,65259
23,0,0,14,77337,76919,76066,76068,76750,69861,68704,69212,68806,68689,77610,76909,76377,76865,76418,66367,65622,65833,66266,65701
24,1,0,14,76758,76355,75497,75512,76185,69408,68248,68751,68362,68238,77019,76338,75812,76288,75848,65921,65182,65380,65815,65241
25,0,0,14,77338,76915,76058,76075,76759,69869,68702,69228,68815,68683,77596,76915,76378,76865,76415,66365,65629,65826,66258,65684
26,1,0,14,76760,76355,75509,75516,76192,69405,68251,68764,68360,68234,77016,76335,75804,76280,75857,65917,65185,65381,65795,65243
27,0,0,14,77343,76931,76074,76080,76769,69871,68713,69232,68815,68694,77605,76923,76391,76860,76434,66369,65638,65829,66264,65711
28,1,0,14,76765,76355,75499,75501,76190,69399,68253,68757,68352,68224,77012,76332,75796,76267,75853,65915,65181,65356,65797,65245
29,0,0,14,77345,76929,76058,76069,76762,69865,68708,69224,68811,68681,77585,76910,76392,76845,76422,66361,65625,65817,66241,65686
30,1,0,14,76763,76372,75512,75516,76204,69407,68261,68760,68357,68231,77024,76346,75816,76282,75863,65916,65189,65378,65799,65252
