rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,4,836531,833182,818058,823051,814749,821359,820561,817714,828030,814715,826839,818807,808461,822553,818595,810110,814803,809946,812654,797576
1,0,1,4,843193,839915,824803,829779,821391,828017,827224,824321,834892,821385,833654,825515,815065,829228,825549,816848,821609,816623,819445,804227
2,31,1,4,836606,833242,818293,823295,815026,821506,820759,817872,828375,814878,826962,819016,808663,822837,819002,810351,815094,810231,812943,797837
3,0,1,4,842895,839567,824457,829583,821232,827818,826952,824086,834739,821188,833391,825366,814892,829136,825308,816714,821543,816511,819357,804089
4,31,1,4,836727,833470,818426,823516,815112,821775,820880,818009,828643,815035,827119,819281,808731,822951,819015,810560,815245,810298,813104,797981
5,0,1,4,842746,839445,824311,829421,820942,827716,826845,823859,834583,820918,833244,825272,814697,828952,825188,816563,821273,816318,819121,803855
6,31,1,4,836908,833608,818649,823657,815286,821958,821160,818154,828770,815286,827297,819511,809044,823223,819346,810843,815426,810590,813255,798086
7,0,1,4,842943,839619,824624,829620,821180,827899,827167,824117,834800,821198,833444,825463,815000,829200,825444,816848,821496,816481,819329,804019
8,31,1,4,836786,833448,818535,823438,815105,821800,821080,818016,828663,814996,827120,819316,808981,823031,819165,810745,815355,810313,813113,797960
9,0,1,4,842933,839542,824637,829543,821038,827951,827200,824060,834691,821075,833339,825368,814981,829129,825328,816771,821519,816303,819311,804042
10,31,1,4,836577,833404,818340,823308,814878,821683,820974,817919,828448,814935,826874,819134,808641,822948,818954,810471,815201,810215,812990,797804
11,0,1,4,842828,839564,824423,829391,820816,827678,826901,823881,834594,821011,833060,825256,814729,829034,825146,816627,821388,816312,819102,803802
12,31,1,4,836631,833492,818310,823263,814875,821593,820916,817852,828460,814887,826840,819120,808718,822823,819012,810532,815210,810200,812957,797752
13,0,1,4,843350,840107,824933,830022,821409,828241,827571,824462,835119,821521,833678,825772,815289,829498,825875,817194,821948,816880,819608,804323
14,31,1,4,836561,833427,818461,823502,814984,821658,821029,817912,828490,814917,826958,819187,808846,822802,819210,810645,815193,810202,812955,797765
15,0,1,4,842997,839933,824794,829970,821338,828097,827433,824330,834948,821372,833555,825642,815201,829272,825612,817021,821670,816649,819462,804024
16,31,1,4,836676,833516,818517,823537,815113,821786,821102,817995,828618,815073,827035,819269,808812,822901,819154,810713,815201,810235,813052,797757
17,0,1,4,842934,839731,824604,829664,821185,827962,827181,824151,834759,821263,833340,825533,814959,829100,825493,816915,821480,816422,819312,803860
18,31,1,4,836687,833448,818446,823398,814995,821795,820924,817962,828469,814976,826840,819273,808891,822924,819211,810715,815148,810194,813048,797745
19,0,1,4,842930,839661,824639,829612,821101,827953,827077,824156,834715,821146,833223,825561,814908,829103,825516,816803,821447,816524,819202,803881
20,31,1,4,836798,833543,818569,823492,815003,821827,821012,818053,828616,815035,826939,819395,808921,822962,819332,810609,815217,810375,813043,797751
21,0,1,4,842995,839671,824674,829710,821044,827965,827092,824083,834683,821058,833191,825461,815025,829065,825458,816768,821535,816469,819211,803961
22,31,1,4,836599,833341,818335,823383,814870,821678,820785,817758,828439,814827,826775,819205,808741,822798,818966,810507,815143,810208,812918,797701
23,0,1,4,843094,839775,824828,829834,821195,828096,827201,824163,834965,821284,833432,825663,815074,829260,825500,817053,821697,816655,819336,804144
24,31,1,4,836659,833427,818622,823456,815010,821775,820927,817906,828618,814957,826929,819246,808838,822969,819066,810616,815358,810283,812920,797826
25,0,1,4,843209,839939,824965,829994,821468,828314,827431,824401,835113,821427,833630,825880,815278,829462,825684,817190,821974,816744,819548,804275
26,31,1,4,836603,833287,818388,823466,814976,821688,820901,817786,828553,814817,826770,819266,808644,822847,818989,810494,815221,810138,812941,797672
27,0,1,4,842901,839541,824588,829670,821180,827880,827144,823952,834739,820990,833213,825458,814949,829163,825354,816622,821543,816323,819228,803923
28,31,1,4,836600,833342,818468,823516,815029,821720,820995,817878,828507,814857,826907,819237,808731,822890,819070,810487,815278,810239,812951,797765
29,0,1,4,842958,839676,824722,829841,821207,827989,827209,824234,834868,821166,833342,825572,814939,829192,825391,816880,821649,816604,819363,803994
30,31,1,4,836945,833635,818618,823719,815269,821945,821201,818193,828820,815121,827226,819483,808993,823078,819177,810803,815468,810459,813233,798029
31,0,1,4,843206,839888,824821,830006,821388,828123,827357,824319,835036,821293,833524,825753,815153,829299,825537,817072,821787,816667,819469,804188
32,31,1,4,836687,833402,818363,823610,814975,821773,821008,817933,828619,814920,826884,819338,808894,822854,819051,810687,815264,810199,812980,797795
