rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1023,836270,833086,818162,822671,815110,821251,820935,817406,827861,814425,826203,819179,808532,822423,818726,810316,814906,810070,812690,797731
1,0,1,1023,843205,839926,824856,829497,821736,828068,827819,824188,834651,821235,833224,826098,815314,829321,825711,817062,821852,816833,819495,804407
2,31,1,1023,836909,833625,818664,823303,815646,821836,821555,818133,828475,815098,826909,819831,809161,823170,819518,810787,815562,810635,813185,798246
3,0,1,1023,843236,839986,824883,829646,821791,828175,827720,824209,834803,821284,833297,826139,815282,829306,825878,816968,821840,816865,819540,804439
4,31,1,1023,836909,833765,818714,823368,815689,821897,821627,818055,828557,814994,826917,819812,809237,823085,819443,810813,815452,810541,813286,798188
5,0,1,1023,843485,840241,825073,829775,821979,828315,828023,824388,834983,821396,833421,826216,815585,829587,825977,817209,821918,816878,819732,804553
6,31,1,1023,836909,833767,818598,823344,815587,821838,821478,817948,828481,814909,826745,819578,809058,823069,819357,810691,815271,810392,813157,798055
7,0,1,1023,843394,840248,825034,829835,821971,828310,827898,824405,834944,821377,833360,826136,815392,829574,825938,817156,821890,816962,819708,804480
8,31,1,1023,836788,833785,818541,823446,815622,821904,821459,818016,828431,814913,826743,819630,809113,823105,819410,810692,815437,810556,813255,798154
9,0,1,1023,843381,840234,825104,829980,822016,828335,827825,824477,834992,821399,833437,826092,815589,829649,825979,817160,822064,817026,819826,804613
10,31,1,1023,836864,833799,818753,823561,815754,821988,821559,818113,828582,815056,826957,819642,809188,823217,819507,810780,815579,810656,813360,798255
11,0,1,1023,843443,840219,825127,830066,822074,828448,828126,824489,834952,821511,833517,826169,815522,829737,826063,817188,822101,817092,819808,804649
12,31,1,1023,836910,833665,818605,823653,815671,821923,821565,818012,828493,815110,826797,819672,809173,823278,819445,810690,815532,810556,813195,798240
13,0,1,1023,843117,839777,824753,829796,821720,828018,827558,824035,834691,821236,833151,825911,815239,829383,825664,816899,821740,816806,819377,804316
