rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,65535,6723555,6699539,6577563,6616420,6553930,6606352,6601620,6576752,6658357,6548702,6644931,6587412,6504413,6614467,6583637,6517050,6555431,6510832,6531958,6412773
1,0,0,65535,6737094,6712653,6590923,6630088,6567038,6620092,6614071,6589531,6671977,6561183,6659321,6601194,6518274,6628877,6597064,6532130,6569588,6524327,6545332,6426182
2,31,0,65535,6725072,6700273,6578602,6618723,6555191,6607895,6601538,6577880,6659490,6549140,6646844,6588644,6505875,6616088,6584937,6519665,6556973,6511038,6532145,6413408
3,0,0,65535,6737377,6712290,6590867,6631027,6567304,6619717,6614046,6590244,6671429,6562001,6659765,6601177,6517864,6628048,6597971,6531735,6569686,6523532,6545218,6426224
4,31,0,65535,6726345,6701403,6579385,6618791,6555256,6607870,6603024,6578346,6659702,6549266,6648098,6589639,6506127,6616393,6584876,6520090,6557190,6511773,6533244,6414326
5,0,0,65535,6737178,6713301,6590769,6630277,6565831,6619430,6614166,6590126,6671361,6560813,6659655,6601264,6517735,6627842,6597170,6532529,6568594,6523741,6544933,6426536
6,31,0,65535,6725736,6700584,6579317,6619522,6553901,6607505,6602317,6578577,6659508,6548615,6647237,6588834,6505218,6616277,6584197,6520102,6555451,6511639,6532987,6413377
7,0,0,65535,6737882,6712519,6591383,6631454,6565465,6619403,6615556,6590979,6671825,6561140,6659448,6601101,6517839,6628286,6597328,6532452,6569113,6524625,6545662,6425438
8,31,0,65535,6725909,6700344,6578847,6618548,6553411,6608102,6602776,6578282,6659321,6549117,6646640,6589082,6506161,6616338,6584329,6519546,6555531,6511594,6532725,6412901
9,0,0,65535,6738064,6712881,6590512,6631306,6565771,6619918,6615095,6590495,6672075,6561646,6659513,6601152,6518105,6628717,6596593,6533150,6569152,6524770,6546172,6425371
10,31,0,65535,6726505,6701161,6578646,6620433,6554872,6608350,6602803,6578090,6660069,6549533,6647136,6589258,6506143,6616095,6585676,6520479,6557147,6512427,6534653,6413714
11,0,0,65535,6737535,6712693,6590279,6632278,6566104,6619620,6613759,6589803,6671462,6561414,6659398,6601162,6517529,6627368,6597521,6532233,6570208,6524274,6546058,6425468
12,31,0,65535,6726261,6700867,6579091,6620509,6554200,6608550,6602369,6578328,6659465,6549038,6647653,6589386,6505200,6616359,6584959,6519596,6557393,6511721,6534310,6413305
13,0,0,65535,6737739,6713014,6590515,6631915,6565635,6620482,6613524,6589755,6671156,6560721,6659934,6600524,6516861,6627649,6597255,6532046,6569800,6524131,6546165,6425043
14,31,0,65535,6726506,6701190,6578981,6620048,6553197,6608106,6602676,6578259,6659291,6549166,6647235,6588920,6505771,6615667,6584636,6519982,6556403,6511635,6533676,6412715
15,0,0,65535,6739847,6713621,6592044,6632791,6566195,6621534,6615816,6590814,6672648,6562438,6661159,6602256,6518576,6628934,6598160,6533519,6570264,6525403,6547407,6426162
16,31,0,65535,6726524,6700093,6578703,6619405,6552839,6607897,6602100,6576702,6659001,6548961,6647229,6588975,6505081,6614882,6584565,6519451,6556223,6511630,6533834,6412939
17,0,0,65535,6738693,6712686,6591044,6632179,6565344,6620331,6614433,6589463,6671825,6562705,6659507,6601571,6517611,6628653,6597034,6532705,6569729,6524469,6546483,6425751
