rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,16383,608961,605795,599134,599049,604278,551092,541740,546061,542947,541802,610886,605135,600940,604953,601755,523228,517321,518588,522128,517719
1,0,0,16383,618896,615705,608777,608657,614056,558757,549486,553822,550701,549427,620862,615162,611021,614911,611547,530900,525181,526379,529986,525569
2,31,0,16383,609141,605934,599196,599012,604335,551127,541961,546098,543086,541925,610822,605201,601025,604980,601733,523107,517417,518714,522268,517829
3,0,0,16383,619007,615668,608769,608712,614076,558878,549587,553813,550733,549621,620922,615314,611166,614987,611687,531003,525258,526503,530087,525616
4,31,0,16383,609089,605884,599095,599070,604299,551199,542015,546046,543062,541967,610885,605273,601038,605022,601862,523208,517470,518715,522264,517880
5,0,0,16383,618947,615719,608665,608713,614015,558797,549520,553769,550721,549437,620914,615253,611146,614982,611749,530996,525187,526438,530046,525660
6,31,0,16383,609097,605915,599076,599058,604291,551118,541884,546055,543091,541810,610786,605264,600977,605008,601851,523169,517436,518665,522160,517860
7,0,0,16383,618874,615770,608644,608690,614029,558820,549549,553757,550692,549574,620844,615293,611058,615046,611676,531044,525219,526525,530008,525677
8,31,0,16383,609057,605967,599091,599095,604329,551104,541946,545921,543043,541926,610736,605282,601037,605064,601781,523257,517416,518761,522161,517849
9,0,0,16383,618950,615848,608707,608767,614182,558764,549670,553727,550772,549696,620854,615399,611237,615158,611770,531168,525298,526630,530090,525768
10,31,0,16383,609053,605995,599133,599194,604406,551121,542011,545982,543069,542002,610817,605380,601168,605177,601847,523315,517517,518775,522244,517911
11,0,0,16383,618844,615806,608664,608708,614080,558779,549557,553701,550671,549533,620803,615271,611118,614983,611693,530992,525098,526519,530060,525675
12,31,0,16383,609011,606089,599140,599115,604373,551155,541977,546051,543115,541950,610789,605350,601036,605053,601817,523260,517403,518820,522339,518001
13,0,0,16383,618909,615871,608743,608781,614214,558847,549601,553841,550762,549596,620913,615330,611181,615083,611732,531106,525234,526708,530219,525794
14,31,0,16383,609093,606083,599077,599168,604446,551227,541952,546012,543183,541932,610756,605402,601060,605076,601849,523249,517497,518833,522260,517882
15,0,0,16383,618942,615850,608743,608752,614204,558852,549592,553726,550798,549575,620887,615367,611142,615209,611836,531021,525217,526659,530056,525665
16,31,0,16383,609112,605996,599138,599153,604371,551138,542006,546008,543130,541918,610888,605362,601069,605150,601898,523254,517431,518904,522264,517866
17,0,0,16383,618984,615794,608822,608777,614146,558809,549652,553736,550708,549547,620970,615421,611121,615182,611736,531089,525244,526683,530051,525664
18,31,0,16383,609075,606074,599248,599173,604365,551279,542097,546073,543063,541931,610891,605453,601081,605277,601889,523269,517504,518848,522264,517907
19,0,0,16383,618940,615864,608872,608769,614146,558878,549679,553885,550671,549612,620914,615344,611134,615279,611758,531075,525193,526660,530112,525690
20,31,0,16383,609147,605996,599190,599066,604315,551172,541983,545962,542941,541911,610825,605305,600994,605204,601766,523227,517365,518756,522244,517884
21,0,0,16383,619004,615827,608888,608597,614203,558772,549568,553763,550604,549574,620887,615285,611150,615201,611682,530955,525162,526580,529978,525728
22,31,0,16383,609120,605956,599173,599008,604377,551183,542007,546084,542970,541918,610828,605324,601115,605226,601690,523180,517377,518757,522242,517941
