rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,3,6719973,6694450,6573761,6611930,6549087,6597622,6594511,6570036,6652606,6545651,6641914,6584242,6499276,6609547,6581732,6510015,6550450,6506534,6529963,6409598
1,0,1,3,6733265,6707104,6586243,6625035,6561343,6610840,6607160,6583039,6665637,6558007,6654163,6596189,6512393,6622233,6594811,6523626,6563603,6520053,6542896,6421529
2,31,1,3,6721253,6694966,6574284,6613198,6549388,6598778,6595137,6570426,6653298,6544884,6641231,6583913,6500120,6610075,6581650,6511092,6551309,6507452,6530021,6409153
3,0,1,3,6733589,6706259,6586176,6624729,6560757,6610928,6607555,6582294,6665449,6557143,6653968,6596110,6512235,6622428,6593780,6523993,6563246,6520323,6542114,6421949
4,31,1,3,6720501,6693410,6573805,6612600,6548277,6599168,6594331,6570317,6652757,6545107,6641429,6583653,6500014,6609503,6581240,6510896,6550693,6507364,6529060,6408917
5,0,1,3,6733230,6706367,6585807,6624286,6560495,6611250,6606719,6582969,6665702,6556992,6654129,6596080,6510811,6621751,6594543,6523870,6564290,6520449,6542173,6420279
6,31,1,3,6720593,6694118,6573640,6612742,6548828,6599517,6595194,6569849,6653104,6544962,6642188,6583617,6498565,6609603,6581489,6510960,6552239,6507893,6529798,6408147
7,0,1,3,6732728,6706543,6586363,6624661,6560990,6611858,6607710,6582337,6665273,6557488,6654109,6596209,6510805,6622021,6594069,6524562,6563888,6520011,6542446,6420756
8,31,1,3,6720625,6694286,6573238,6612212,6548861,6598926,6595015,6569598,6652322,6545261,6640631,6583357,6498530,6608760,6581018,6511082,6550651,6507597,6529247,6407764
9,0,1,3,6732437,6705698,6585612,6624363,6560775,6611373,6606653,6581954,6664421,6557190,6653525,6595669,6511049,6621334,6593948,6524508,6563530,6519686,6541988,6420069
10,31,1,3,6720588,6694365,6573182,6612734,6549653,6598931,6594739,6569971,6652513,6545058,6641115,6583309,6499274,6609667,6580962,6511622,6551301,6507119,6529608,6408500
11,0,1,3,6733590,6706720,6586085,6624881,6561733,6611089,6607134,6582739,6665854,6557068,6654200,6595584,6512172,6621878,6593162,6524753,6564299,6520444,6543158,6421436
12,31,1,3,6719787,6693802,6572439,6611914,6548292,6598217,6593406,6569459,6652669,6542947,6640762,6582538,6498578,6607597,6579937,6510446,6550252,6506598,6528694,6407096
13,0,1,3,6732415,6706987,6584798,6624709,6560964,6611309,6607040,6582715,6666315,6556328,6654165,6596240,6511326,6621899,6593833,6524565,6564434,6520421,6542690,6419674
