rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,7,74887,74487,73693,73715,74289,67922,66743,67254,66853,66724,75120,74432,73884,74365,73997,64415,63700,63902,64276,63724
1,0,0,7,78483,78052,77187,77211,77836,70797,69605,70148,69701,69590,78766,78037,77511,77972,77572,67237,66521,66728,67130,66561
2,31,0,7,74926,74515,73729,73749,74331,67939,66784,67279,66887,66760,75162,74468,73916,74413,74026,64429,63726,63908,64320,63758
3,0,0,7,78486,78053,77185,77212,77844,70797,69615,70163,69734,69601,78756,78055,77519,77984,77571,67243,66531,66725,67134,66581
4,31,0,7,74922,74523,73721,73737,74329,67946,66780,67270,66890,66757,75150,74472,73906,74402,74021,64434,63723,63911,64303,63760
5,0,0,7,78510,78077,77212,77218,77867,70814,69627,70178,69753,69619,78788,78077,77538,78003,77582,67256,66542,66745,67141,66587
6,31,0,7,74927,74506,73712,73738,74322,67932,66769,67266,66888,66760,75155,74465,73909,74404,74007,64418,63721,63898,64305,63752
7,0,0,7,78480,78045,77193,77184,77840,70790,69608,70149,69734,69597,78764,78039,77520,77983,77556,67237,66518,66716,67123,66578
8,31,0,7,74933,74523,73734,73733,74332,67942,66777,67270,66901,66762,75168,74472,73909,74412,74021,64442,63725,63917,64298,63770
9,0,0,7,78509,78068,77220,77219,77859,70820,69627,70176,69758,69616,78791,78072,77538,78009,77583,67267,66547,66758,67132,66608
10,31,0,7,74947,74513,73732,73749,74332,67945,66795,67275,66895,66767,75168,74475,73920,74412,74023,64449,63742,63924,64311,63782
11,0,0,7,78508,78041,77195,77203,77855,70793,69623,70166,69728,69612,78764,78051,77518,78003,77571,67253,66534,66729,67124,66597
12,31,0,7,74938,74512,73728,73739,74339,67935,66782,67277,66885,66762,75157,74466,73907,74422,74021,64436,63727,63910,64300,63779
13,0,0,7,78506,78049,77199,77204,77857,70791,69618,70161,69735,69600,78765,78051,77531,77992,77570,67243,66524,66723,67120,66597
14,31,0,7,74943,74507,73730,73738,74336,67936,66788,67282,66892,66763,75151,74471,73914,74416,74008,64438,63723,63905,64300,63772
