rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,0,-1,76731,76313,75503,75467,76086,69368,68184,68716,68318,68156,77032,76312,75752,76253,75846,65883,65154,65317,65754,65212
1,0,0,-1,77332,76916,76096,76064,76677,69844,68657,69191,68803,68627,77632,76903,76347,76853,76432,66349,65621,65790,66223,65698
2,1,0,-1,76749,76339,75523,75495,76112,69385,68205,68736,68349,68177,77047,76314,75765,76275,75851,65896,65170,65346,65767,65243
3,0,0,-1,77341,76926,76090,76065,76691,69852,68658,69204,68821,68650,77625,76894,76353,76865,76440,66355,65618,65796,66236,65700
4,1,0,-1,76755,76336,75521,75491,76111,69395,68203,68734,68373,68196,77042,76325,75777,76288,75861,65906,65175,65348,65785,65255
5,0,0,-1,77326,76902,76061,76042,76664,69837,68652,69185,68817,68635,77612,76889,76338,76847,76424,66351,65605,65790,66221,65689
6,1,0,-1,76767,76356,75520,75497,76120,69394,68219,68723,68366,68195,77050,76321,75774,76288,75869,65908,65173,65361,65801,65258
7,0,0,-1,77330,76915,76077,76038,76685,69843,68666,69173,68809,68640,77620,76890,76333,76849,76426,66346,65605,65804,66232,65704
8,1,0,-1,76763,76341,75523,75495,76124,69386,68219,68718,68369,68198,77062,76321,75781,76286,75869,65908,65174,65359,65783,65262
9,0,0,-1,77335,76918,76087,76056,76690,69845,68685,69189,68828,68651,77635,76900,76354,76865,76437,66356,65627,65810,66242,65705
10,1,0,-1,76771,76346,75517,75499,76113,69388,68233,68732,68359,68199,77048,76325,75779,76288,75870,65907,65176,65359,65790,65249
11,0,0,-1,77357,76935,76082,76078,76695,69852,68695,69203,68822,68653,77641,76895,76366,76863,76441,66362,65615,65814,66243,65709
12,1,0,-1,76777,76351,75517,75507,76114,69394,68244,68736,68360,68198,77058,76320,75771,76283,75868,65907,65169,65360,65785,65257
13,0,0,-1,77361,76927,76084,76065,76697,69849,68693,69197,68803,68659,77632,76905,76359,76861,76442,66357,65614,65818,66234,65704
14,1,0,-1,76785,76344,75520,75494,76126,69395,68235,68740,68366,68208,77052,76321,75769,76293,75865,65901,65171,65366,65780,65246
15,0,0,-1,77370,76920,76089,76061,76701,69860,68690,69208,68826,68668,77638,76906,76355,76864,76441,66362,65627,65814,66247,65698
16,1,0,-1,76785,76352,75519,75492,76117,69399,68243,68748,68357,68213,77056,76330,75772,76290,75873,65912,65181,65356,65791,65245
17,0,0,-1,77362,76928,76087,76059,76690,69858,68690,69209,68819,68663,77631,76898,76350,76857,76431,66357,65623,65799,66250,65700
18,1,0,-1,76810,76367,75557,75523,76149,69420,68262,68766,68387,68235,77072,76344,75793,76319,75889,65928,65182,65373,65814,65278
19,0,0,-1,77360,76919,76099,76062,76694,69861,68697,69215,68827,68674,77638,76911,76365,76874,76434,66365,65626,65804,66243,65702
20,1,0,-1,76782,76342,75539,75509,76125,69418,68241,68752,68372,68222,77053,76340,75778,76301,75875,65922,65175,65363,65796,65253
21,0,0,-1,77354,76917,76084,76068,76692,69855,68694,69202,68798,68666,77625,76905,76348,76866,76432,66348,65610,65794,66242,65701
22,1,0,-1,76806,76365,75544,75521,76143,69412,68254,68761,68379,68226,77074,76352,75788,76307,75882,65920,65191,65362,65816,65262
23,0,0,-1,77370,76931,76095,76073,76703,69855,68697,69209,68824,68667,77635,76910,76357,76857,76447,66357,65630,65801,66244,65692
24,1,0,-1,76785,76362,75540,75506,76129,69393,68244,68738,68365,68213,77057,76331,75782,76299,75877,65913,65178,65361,65801,65245
25,0,0,-1,77349,76922,76091,76053,76692,69850,68689,69188,68808,68661,77617,76898,76350,76863,76435,66343,65619,65796,66245,65684
26,1,0,-1,76774,76337,75530,75492,76113,69400,68230,68730,68348,68203,77047,76328,75770,76292,75866,65888,65165,65345,65783,65244
27,0,0,-1,77359,76933,76094,76061,76691,69859,68692,69208,68814,68657,77636,76900,76358,76867,76441,66348,65620,65792,66228,65696
28,1,0,-1,76782,76356,75530,75502,76120,69399,68235,68749,68367,68203,77050,76326,75780,76301,75871,65901,65170,65348,65772,65254
29,0,0,-1,77337,76908,76084,76062,76679,69839,68675,69201,68812,68647,77621,76885,76341,76863,76425,66330,65600,65789,66222,65690
30,1,0,-1,76770,76337,75526,75506,76117,69381,68218,68740,68364,68198,77052,76322,75772,76299,75855,65884,65161,65338,65767,65239
31,0,0,-1,77354,76929,76091,76072,76707,69865,68696,69214,68830,68668,77642,76912,76373,76888,76449,66350,65623,65806,66240,65705
32,1,0,-1,76779,76346,75523,75505,76135,69396,68241,68758,68379,68213,77063,76332,75786,76305,75875,65899,65176,65351,65797,65252
33,0,0,-1,77362,76932,76101,76078,76711,69867,68700,69224,68846,68667,77647,76921,76379,76898,76455,66358,65625,65814,66247,65707
34,1,0,-1,76791,76360,75535,75513,76138,69401,68254,68765,68389,68218,77071,76350,75801,76316,75882,65907,65185,65372,65801,65265
35,0,0,-1,77358,76933,76085,76050,76686,69835,68689,69206,68818,68663,77622,76908,76357,76871,76436,66330,65618,65801,66226,65684
36,1,0,-1,76788,76354,75531,75511,76124,69394,68250,68747,68369,68214,77060,76337,75791,76303,75876,65900,65174,65367,65791,65250
37,0,0,-1,77362,76914,76092,76067,76701,69841,68695,69209,68822,68661,77630,76898,76361,76876,76446,66345,65612,65805,66239,65699
38,1,0,-1,76794,76364,75544,75523,76133,69393,68251,68763,68377,68224,77061,76342,75803,76310,75883,65912,65170,65359,65806,65255
39,0,0,-1,77374,76946,76116,76082,76716,69858,68704,69217,68837,68682,77644,76923,76381,76886,76454,66358,65627,65815,66262,65724
40,1,0,-1,76788,76359,75534,75508,76132,69390,68237,68741,68368,68217,77047,76335,75788,76297,75871,65904,65181,65353,65796,65262
41,0,0,-1,77374,76945,76107,76076,76720,69853,68706,69217,68839,68679,77644,76916,76371,76898,76461,66366,65629,65813,66253,65718
42,1,0,-1,76792,76375,75537,75508,76142,69396,68251,68754,68375,68219,77052,76336,75784,76315,75884,65912,65177,65363,65801,65265
43,0,0,-1,77368,76937,76103,76058,76708,69860,68699,69216,68828,68675,77635,76911,76361,76877,76460,66358,65618,65809,66237,65717
44,1,0,-1,76793,76363,75535,75507,76129,69393,68245,68755,68378,68222,77056,76329,75788,76315,75883,65910,65168,65360,65791,65258
45,0,0,-1,77373,76946,76112,76070,76718,69853,68700,69221,68834,68683,77652,76917,76377,76889,76455,66362,65631,65820,66246,65715
46,1,0,-1,76778,76362,75534,75500,76123,69379,68238,68741,68364,68204,77043,76327,75777,76298,75874,65900,65176,65359,65780,65250
47,0,0,-1,77346,76926,76095,76051,76692,69821,68683,69196,68825,68653,77616,76889,76358,76861,76432,66342,65605,65807,66220,65692
48,1,0,-1,76789,76371,75537,75503,76125,69388,68241,68744,68378,68210,77052,76333,75791,76300,75881,65913,65174,65368,65784,65254
49,0,0,-1,77348,76928,76077,76053,76684,69836,68682,69195,68813,68648,77615,76891,76345,76854,76436,66351,65613,65803,66225,65680
50,1,0,-1,76784,76369,75537,75499,76135,69392,68236,68749,68371,68208,77055,76329,75778,76308,75888,65913,65178,65370,65797,65254
51,0,0,-1,77360,76935,76094,76053,76709,69847,68691,69219,68827,68663,77630,76904,76354,76878,76457,66359,65607,65817,66235,65696
52,1,0,-1,76775,76356,75523,75484,76129,69382,68235,68747,68360,68210,77054,76320,75780,76294,75876,65905,65160,65364,65777,65237
53,0,0,-1,77373,76947,76097,76062,76713,69860,68701,69217,68822,68674,77643,76902,76379,76888,76462,66365,65617,65837,66246,65705
54,1,0,-1,76798,76382,75528,75493,76138,69393,68249,68763,68371,68220,77043,76322,75800,76312,75882,65921,65175,65387,65795,65264
55,0,0,-1,77369,76936,76090,76053,76702,69843,68693,69220,68815,68679,77622,76897,76371,76885,76445,66356,65616,65820,66240,65703
56,1,0,-1,76791,76367,75531,75496,76135,69397,68248,68763,68367,68226,77053,76334,75790,76313,75890,65914,65172,65380,65799,65261
57,0,0,-1,77370,76948,76102,76061,76711,69858,68704,69229,68830,68683,77617,76901,76369,76888,76462,66367,65630,65824,66257,65709
58,1,0,-1,76780,76363,75532,75486,76120,69394,68236,68758,68368,68221,77022,76322,75784,76298,75881,65907,65174,65362,65786,65246
59,0,0,-1,77377,76948,76114,76065,76713,69869,68703,69228,68831,68687,77616,76907,76379,76889,76464,66376,65634,65838,66256,65715
60,1,0,-1,76796,76373,75557,75512,76151,69407,68254,68779,68383,68239,77049,76335,75792,76319,75898,65935,65191,65387,65811,65266
61,0,0,-1,77376,76941,76119,76065,76702,69864,68708,69234,68838,68693,77627,76913,76366,76890,76468,66370,65634,65839,66263,65705
62,1,0,-1,76806,76380,75549,75512,76140,69416,68264,68778,68382,68244,77054,76346,75798,76322,75903,65937,65195,65400,65814,65262
63,0,0,-1,77375,76942,76105,76059,76710,69858,68712,69235,68829,68688,77628,76914,76378,76889,76472,66377,65632,65836,66253,65716
64,1,0,-1,76811,76388,75565,75508,76152,69419,68266,68783,68386,68246,77058,76343,75814,76329,75916,65940,65188,65392,65816,65285
65,0,0,-1,77363,76940,76105,76050,76702,69855,68705,69222,68826,68677,77620,76900,76362,76885,76466,66366,65613,65824,66250,65719
66,1,0,-1,76805,76382,75557,75507,76135,69395,68255,68773,68387,68240,77047,76337,75791,76328,75904,65923,65177,65390,65813,65270
67,0,0,-1,77375,76939,76103,76052,76696,69839,68696,69215,68835,68680,77623,76909,76365,76889,76456,66363,65615,65823,66254,65708
68,1,0,-1,76792,76365,75529,75495,76116,69376,68238,68747,68367,68218,77042,76329,75784,76313,75884,65909,65165,65371,65788,65248
69,0,0,-1,77357,76919,76085,76048,76689,69833,68677,69209,68821,68666,77622,76884,76359,76888,76452,66355,65605,65813,66226,65688
70,1,0,-1,76794,76365,75538,75495,76137,69398,68237,68767,68382,68217,77052,76334,75791,76322,75894,65924,65175,65379,65786,65254
71,0,0,-1,77379,76937,76099,76058,76705,69840,68688,69225,68829,68671,77612,76891,76362,76886,76455,66361,65624,65816,66227,65700
72,1,0,-1,76800,76372,75543,75500,76137,69386,68249,68761,68380,68223,77033,76319,75809,76319,75895,65917,65183,65375,65778,65249
73,0,0,-1,77364,76936,76107,76059,76702,69853,68696,69212,68826,68678,77625,76903,76382,76888,76467,66366,65627,65822,66228,65701
74,1,0,-1,76791,76358,75539,75497,76131,69393,68237,68747,68367,68222,77049,76328,75795,76308,75893,65911,65179,65374,65766,65253
75,0,0,-1,77384,76947,76111,76073,76720,69860,68709,69223,68839,68679,77631,76914,76381,76898,76470,66371,65643,65837,66241,65717
76,1,0,-1,76785,76370,75541,75508,76142,69396,68247,68756,68375,68215,77046,76332,75801,76323,75895,65923,65181,65380,65785,65256
77,0,0,-1,77348,76920,76079,76042,76689,69829,68681,69197,68799,68661,77612,76887,76352,76873,76436,66335,65603,65805,66204,65681
78,1,0,-1,76784,76354,75532,75497,76128,69382,68242,68743,68352,68218,77041,76326,75785,76312,75879,65896,65169,65370,65762,65241
79,0,0,-1,77356,76929,76097,76058,76701,69830,68693,69214,68824,68678,77627,76898,76366,76885,76439,66341,65620,65820,66230,65698
80,1,0,-1,76774,76361,75521,75491,76133,69379,68240,68748,68371,68219,77045,76328,75784,76321,75881,65900,65174,65380,65788,65244
81,0,0,-1,77378,76954,76105,76061,76714,69844,68705,69218,68841,68690,77626,76905,76371,76899,76463,66364,65639,65839,66247,65701
82,1,0,-1,76785,76366,75530,75484,76135,69379,68245,68742,68362,68222,77033,76328,75776,76307,75886,65910,65176,65374,65781,65246
83,0,0,-1,77374,76948,76099,76066,76712,69851,68702,69212,68833,68685,77627,76919,76372,76896,76462,66363,65626,65838,66239,65698
84,1,0,-1,76792,76377,75529,75505,76135,69391,68240,68748,68372,68227,77046,76329,75803,76322,75893,65922,65182,65377,65785,65260
85,0,0,-1,77361,76931,76075,76059,76689,69848,68682,69195,68818,68671,77612,76899,76363,76880,76445,66351,65613,65810,66228,65695
86,1,0,-1,76794,76375,75533,75504,76132,69399,68250,68744,68380,68232,77050,76345,75799,76326,75893,65906,65182,65373,65792,65258
87,0,0,-1,77367,76958,76078,76070,76709,69861,68696,69216,68836,68680,77620,76910,76380,76889,76454,66363,65624,65816,66238,65708
88,1,0,-1,76790,76387,75531,75502,76143,69403,68253,68771,68387,68236,77046,76344,75805,76324,75883,65914,65189,65376,65803,65273
89,0,0,-1,77385,76968,76105,76083,76718,69867,68712,69237,68849,68689,77642,76928,76387,76907,76467,66377,65634,65846,66253,65735
90,1,0,-1,76804,76385,75546,75523,76151,69401,68252,68758,68388,68227,77052,76346,75807,76329,75888,65912,65171,65382,65801,65278
91,0,0,-1,77377,76962,76111,76085,76723,69876,68702,69217,68835,68683,77629,76928,76396,76904,76465,66365,65632,65840,66255,65726
92,1,0,-1,76797,76389,75548,75524,76140,69402,68253,68761,68381,68228,77053,76337,75806,76321,75884,65924,65189,65381,65799,65273
93,0,0,-1,77372,76953,76096,76073,76707,69856,68704,69214,68830,68672,77627,76913,76382,76892,76455,66361,65623,65825,66246,65705
94,1,0,-1,76803,76388,75541,75520,76149,69409,68251,68752,68379,68217,77059,76348,75812,76327,75887,65917,65188,65382,65803,65265
95,0,0,-1,77373,76960,76093,76063,76714,69860,68694,69204,68826,68669,77628,76915,76375,76894,76450,66357,65626,65830,66254,65703
