rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,-1,6712111,6689127,6568953,6610237,6543493,6595872,6589469,6565805,6646396,6539814,6637761,6576652,6492290,6606257,6573347,6506272,6544974,6500605,6521811,6403929
1,0,1,-1,6725874,6702517,6582157,6624109,6555450,6608788,6603145,6579460,6661196,6553095,6652721,6590453,6505335,6619900,6588029,6520645,6559483,6514438,6536762,6417190
2,31,1,-1,6713669,6689766,6569417,6611560,6544131,6596894,6590793,6566321,6648200,6540691,6639094,6578030,6492705,6606061,6574848,6507958,6546312,6501368,6523839,6404533
3,0,1,-1,6726293,6702054,6582207,6624382,6556082,6609498,6602470,6578469,6660589,6553764,6651430,6591669,6505059,6618477,6587381,6520816,6559554,6514753,6536600,6416557
4,31,1,-1,6713732,6689916,6569017,6611903,6543657,6596810,6589542,6565798,6647204,6540909,6638078,6578823,6492200,6606563,6574725,6507925,6546550,6501611,6522625,6403789
5,0,1,-1,6725579,6702214,6580845,6623532,6555692,6609476,6601991,6578212,6659725,6552049,6650298,6590972,6504634,6619138,6587329,6520216,6559359,6514263,6535147,6415692
6,31,1,-1,6714015,6690443,6569254,6612472,6544581,6597160,6590655,6566777,6647279,6540383,6637896,6579126,6493205,6606499,6575982,6508075,6546719,6501641,6523696,6404221
7,0,1,-1,6726174,6702719,6581433,6625151,6556973,6609362,6602617,6579460,6660293,6553414,6650847,6592116,6505943,6619321,6587768,6521405,6560216,6514256,6536695,6417181
8,31,1,-1,6714514,6690911,6568990,6612913,6544292,6597556,6590235,6567426,6648364,6541445,6638740,6580285,6493921,6606924,6576030,6508980,6547783,6501767,6524123,6405513
9,0,1,-1,6727022,6703029,6580769,6625466,6556386,6609940,6602700,6579333,6660805,6553648,6651912,6592645,6505770,6619554,6588005,6521647,6561113,6514693,6536653,6418355
10,31,1,-1,6714094,6690599,6568956,6612953,6543909,6597420,6590535,6566290,6647965,6539762,6638427,6579733,6492440,6605939,6574842,6508157,6547940,6501659,6524118,6404523
11,0,1,-1,6725850,6702620,6581285,6624476,6555809,6609277,6602898,6578483,6660631,6552397,6651516,6591609,6504766,6618494,6587180,6520922,6560117,6513718,6537087,6416893
12,31,1,-1,6713774,6690251,6568421,6612956,6544809,6597571,6591144,6566474,6649311,6539588,6639064,6578472,6492650,6605732,6575044,6508208,6547206,6501334,6524381,6404885
13,0,1,-1,6726485,6702519,6580667,6625537,6556590,6610062,6603961,6579191,6661775,6552923,6651996,6591450,6505275,6618841,6588412,6520987,6559224,6514388,6537277,6417605
14,31,1,-1,6714362,6690305,6568367,6612659,6544051,6597236,6591438,6566515,6648449,6540641,6638952,6578986,6493254,6606821,6575269,6507989,6545770,6502079,6524359,6404500
15,0,1,-1,6726284,6702654,6580559,6624920,6556140,6608748,6604376,6579582,6660650,6552839,6651386,6591582,6505495,6618662,6587847,6520618,6558811,6514436,6536464,6417742
16,31,1,-1,6713957,6691138,6569529,6613449,6545402,6596887,6591905,6567811,6649111,6540862,6639089,6579047,6493802,6607085,6576364,6507971,6547488,6501749,6524269,6405629
17,0,1,-1,6725725,6703035,6580883,6624982,6556852,6609378,6603547,6579481,6661756,6552778,6651616,6591520,6505365,6618804,6588336,6520441,6560426,6514531,6537238,6417851
18,31,1,-1,6714090,6691088,6569937,6612626,6545238,6598035,6591497,6567430,6649864,6540500,6639786,6579612,6493668,6606790,6576789,6508115,6548262,6502434,6524252,6406136
19,0,1,-1,6726482,6703078,6581335,6624826,6557871,6610240,6604138,6580090,6662020,6553091,6652603,6591650,6506453,6619360,6588344,6521343,6560581,6514965,6536592,6418407
20,31,1,-1,6713455,6690348,6568224,6612239,6545108,6597036,6591567,6566914,6648486,6539976,6638511,6578281,6493686,6606271,6575057,6507484,6546891,6501332,6523509,6405189
21,0,1,-1,6726021,6703088,6580222,6625155,6557450,6609424,6604021,6579526,6660911,6552583,6652020,6591412,6505916,6618279,6587886,6521067,6559890,6513647,6536667,6418270
22,31,1,-1,6713574,6690945,6568778,6612603,6545345,6597336,6591910,6567646,6648914,6540410,6639809,6579111,6493493,6606149,6575949,6508336,6546463,6500865,6523678,6406422
23,0,1,-1,6725596,6702507,6580405,6624989,6556984,6608857,6603745,6579460,6660828,6552627,6652143,6591248,6505226,6618830,6588562,6521021,6559590,6513818,6536456,6418414
24,31,1,-1,6713596,6690933,6568347,6612554,6544688,6596607,6591383,6567134,6648207,6539921,6639921,6579034,6493010,6606207,6575580,6508514,6547439,6501310,6524529,6405564
25,0,1,-1,6725320,6703470,6580438,6624885,6556503,6610017,6603725,6579368,6660892,6552263,6652555,6590780,6505328,6619568,6588180,6520720,6559997,6514269,6537236,6417999
26,31,1,-1,6712780,6690950,6567961,6612211,6544078,6597188,6590518,6566376,6648202,6539954,6638683,6578307,6492989,6606791,6575343,6507722,6546471,6501418,6523991,6404708
27,0,1,-1,6725758,6704678,6580809,6626687,6556967,6610549,6604020,6579639,6661555,6553548,6652316,6591270,6506030,6620295,6588816,6520732,6560398,6514704,6537745,6417999
28,31,1,-1,6713363,6691208,6568592,6614126,6544854,6597732,6592083,6566666,6648913,6541409,6639569,6578944,6493618,6606880,6575945,6507544,6547119,6501995,6525183,6405172
