rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,24,835805,832545,817363,822725,814237,820905,820057,817429,827223,814019,826382,818576,808154,821522,818038,809786,814484,809262,811900,796829
1,0,1,24,842676,839389,824123,829604,820941,827672,826895,824286,834104,821031,833361,825452,814954,828498,825157,816675,821354,816173,818761,803637
2,31,1,24,836332,833226,818081,823547,814942,821565,820728,818251,827927,814931,827066,819331,808802,822438,818838,810534,815133,809974,812507,797550
3,0,1,24,842589,839387,824095,829756,821069,827764,826883,824350,834060,820929,833319,825532,814991,828692,825067,816674,821432,816204,818742,803744
4,31,1,24,836297,833077,818014,823409,814874,821552,820645,818084,827841,814704,826788,819270,808777,822401,818759,810461,815039,809873,812438,797392
5,0,1,24,842499,839344,824095,829579,820949,827768,826654,824066,834033,820907,833227,825515,814925,828697,825065,816604,821340,816156,818714,803509
6,31,1,24,836278,833168,818023,823376,814864,821600,820567,817963,827806,814824,826802,819410,808793,822505,818725,810429,815091,809880,812469,797351
7,0,1,24,842803,839564,824366,829833,821219,827914,826920,824378,834223,821135,833418,825680,815042,828922,825167,816822,821486,816249,818910,803687
8,31,1,24,836258,833052,817909,823227,814854,821458,820513,817971,827682,814581,826719,819175,808645,822440,818639,810290,814899,809742,812397,797243
9,0,1,24,842787,839582,824289,829754,821227,827924,827013,824438,834194,821108,833273,825676,815034,828896,825171,816695,821491,816225,818941,803648
10,31,1,24,836456,833279,818147,823461,815048,821685,820750,818247,827867,814797,826919,819373,809005,822693,818828,810473,815131,809906,812673,797448
11,0,1,24,842537,839331,824177,829480,820957,827692,826808,824231,833941,820821,833040,825489,814965,828659,824939,816467,821251,816004,818641,803472
12,31,1,24,836290,833162,818018,823335,814949,821492,820722,818068,827780,814731,826825,819263,808867,822497,818650,810398,814943,809847,812438,797351
13,0,1,24,842599,839393,824156,829703,821179,827742,826957,824307,834068,820978,833296,825521,815149,828662,825139,816720,821355,816096,818705,803583
14,31,1,24,836586,833364,818273,823708,815246,821769,821016,818322,828024,815055,827181,819507,809169,822632,819119,810643,815224,809994,812647,797628
15,0,1,24,842536,839239,824139,829574,821031,827630,826911,824160,833945,820916,833305,825431,814876,828595,825024,816526,821163,816013,818605,803475
16,31,1,24,836451,833161,818057,823500,815022,821642,820811,818196,827893,814792,827031,819361,808916,822441,818879,810527,815003,809891,812484,797411
17,0,1,24,842697,839360,824120,829667,821059,827798,826920,824302,834024,820897,833315,825548,815077,828547,825133,816678,821240,816043,818727,803526
18,31,1,24,836392,833266,817972,823495,815002,821648,820826,818223,827862,814871,826971,819378,808945,822288,818848,810520,814905,809811,812462,797377
19,0,1,24,842557,839297,823941,829553,821017,827687,826906,824274,834010,820920,833206,825522,814894,828446,825063,816608,821057,816047,818582,803462
20,31,1,24,836630,833400,818187,823825,815247,821833,821009,818475,828123,815089,827166,819704,809172,822538,819120,810712,815127,810064,812682,797649
21,0,1,24,842721,839503,824085,829854,821178,827824,827015,824420,834257,821082,833276,825712,815154,828554,825173,816786,821328,816103,818769,803691
22,31,1,24,836168,832995,817784,823335,814729,821363,820570,817984,827739,814608,826826,819237,808735,822172,818706,810413,814827,809663,812286,797292
23,0,1,24,842386,839242,823858,829514,820858,827622,826745,824117,833954,820754,833211,825467,814896,828397,824933,816504,821123,815881,818528,803391
24,31,1,24,836401,833250,817953,823506,814944,821617,820846,818062,827943,814756,827066,819482,808927,822475,818901,810574,815077,809874,812495,797406
25,0,1,24,842727,839439,824009,829763,821092,827809,826998,824235,834170,820994,833341,825696,815152,828674,825217,816796,821373,816121,818768,803650
26,31,1,24,836617,833382,817986,823632,815121,821737,820930,818164,827988,814916,827087,819545,809092,822484,819023,810725,815227,809960,812595,797479
27,0,1,24,842841,839609,824207,829938,821274,827954,827117,824382,834287,821085,833570,825777,815250,828740,825316,816877,821506,816296,818828,803651
28,31,1,24,836431,833194,817888,823459,814902,821577,820775,818020,827892,814744,826946,819349,808930,822321,818814,810430,815097,809906,812465,797279
29,0,1,24,842650,839377,824066,829839,821136,827873,827033,824335,834156,821030,833387,825702,815169,828671,825253,816786,821408,816143,818829,803518
30,31,1,24,835955,832786,817674,823266,814752,821363,820586,817842,827583,814533,826702,819239,808713,822147,818677,810254,814832,809600,812293,797087
31,0,1,24,842437,839137,824013,829572,820951,827617,826860,824120,833946,820823,833146,825449,815027,828458,825088,816592,821311,815913,818659,803377
32,31,1,24,836118,832873,817818,823354,814753,821400,820728,817886,827577,814561,826772,819175,808694,822162,818709,810335,814902,809694,812276,797193
33,0,1,24,842607,839283,824091,829714,821026,827870,826955,824205,834037,820974,833349,825616,815017,828571,825225,816682,821339,815990,818708,803479
34,31,1,24,836359,833099,818060,823616,814991,821695,820854,818088,827804,814796,827006,819388,808967,822372,819072,810502,815137,809892,812539,797341
35,0,1,24,842758,839396,824226,829861,821185,827873,827065,824235,834133,821090,833349,825678,815247,828649,825512,816834,821596,816208,818872,803561
36,31,1,24,836239,832997,817938,823430,814773,821483,820826,817923,827769,814706,826873,819236,808884,822224,818948,810381,815125,809733,812374,797293
37,0,1,24,842630,839237,824031,829715,820954,827669,826987,824063,833957,820845,833281,825528,815023,828382,825200,816629,821404,816007,818654,803391
38,31,1,24,836332,832978,817900,823412,814834,821417,820840,817904,827760,814704,826918,819273,808799,822096,818757,810335,815049,809755,812401,797175
39,0,1,24,842294,838918,823706,829322,820660,827305,826685,823763,833649,820555,833016,825229,814679,828086,824740,816224,821059,815540,818342,802964
40,31,1,24,836347,833157,817949,823485,814787,821504,820841,817966,827805,814720,826978,819275,808970,822274,818835,810440,815112,809805,812508,797185
41,0,1,24,842768,839445,824152,829739,821021,827758,827179,824189,834101,820878,833414,825602,815142,828581,825260,816685,821521,816138,818891,803353
42,31,1,24,836342,833018,817934,823405,814838,821513,820843,817955,827843,814606,826868,819333,808880,822204,818750,810383,815140,809884,812550,797191
43,0,1,24,842661,839345,824120,829698,821029,827820,827102,824161,834164,820911,833385,825724,815177,828538,825099,816615,821499,816110,818903,803421
44,31,1,24,836354,833080,817971,823412,814875,821615,820914,817960,827871,814682,826941,819429,809057,822318,818819,810416,815170,809827,812619,797233
45,0,1,24,842311,839241,824039,829535,820861,827707,826896,823974,833940,820679,833167,825494,814995,828435,824997,816547,821290,815925,818711,803276
46,31,1,24,836221,833134,817912,823322,814808,821527,820841,817817,827703,814578,826849,819324,808922,822285,818806,810430,815075,809812,812479,797168
47,0,1,24,842668,839524,824264,829789,821120,827912,827314,824312,834264,821007,833552,825754,815300,828759,825342,816810,821610,816234,818981,803535
48,31,1,24,836075,832852,817810,823304,814671,821336,820769,817842,827744,814552,826767,819197,808743,822158,818649,810239,814895,809669,812381,797073
49,0,1,24,842507,839343,824156,829660,820957,827702,827049,824187,834118,820819,833238,825626,815013,828559,825144,816687,821425,816064,818816,803446
50,31,1,24,836487,833357,818277,823635,815040,821766,821094,818237,828153,814928,827101,819587,809122,822423,819085,810663,815401,810112,812749,797518
51,0,1,24,842279,839123,824058,829433,820855,827614,826953,823975,833907,820666,833183,825461,814863,828290,824989,816487,821268,815941,818641,803262
52,31,1,24,836074,833044,817940,823308,814799,821522,820797,817849,827805,814641,826930,819403,808947,822229,818726,810394,815090,809849,812490,797305
53,0,1,24,842625,839488,824294,829759,821021,827848,827237,824236,834155,821076,833380,825715,815237,828734,825278,816841,821595,816259,818943,803680
54,31,1,24,836347,833231,818031,823554,814949,821684,821024,818130,828004,814831,826947,819437,809124,822465,819012,810541,815231,810033,812602,797441
55,0,1,24,842558,839416,824083,829722,821013,827721,827064,824149,834042,820914,833247,825592,815079,828503,825167,816610,821371,816119,818790,803428
56,31,1,24,836425,833333,818205,823572,814987,821675,820963,818109,827912,814801,826981,819588,809018,822445,818968,810498,815258,810005,812653,797472
57,0,1,24,842520,839333,824273,829687,820973,827811,826952,824117,834036,820921,833289,825564,815118,828536,825117,816539,821403,816078,818719,803510
58,31,1,24,835927,832811,817820,823195,814577,821376,820494,817736,827598,814485,826700,819090,808670,822068,818584,810148,814902,809541,812184,797046
59,0,1,24,842521,839289,824155,829683,820981,827812,827040,824152,834069,820929,833359,825542,815088,828535,825154,816660,821512,816046,818725,803409
60,31,1,24,836258,833082,818001,823436,814818,821593,820812,817976,827744,814795,826872,819213,808948,822316,818845,810378,815187,809854,812418,797228
61,0,1,24,842704,839429,824336,829746,821093,827868,827142,824274,834108,821067,833405,825641,815212,828702,825170,816683,821518,816182,818825,803498
