rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1023,74890,74545,73709,73734,74315,67889,66791,67306,66922,66751,75181,74517,73896,74416,74068,64452,63736,63946,64357,63816
1,0,1,1023,78471,78099,77194,77187,77853,70736,69632,70190,69785,69607,78794,78109,77508,78001,77608,67269,66541,66754,67174,66630
2,31,1,1023,74914,74571,73746,73739,74345,67888,66824,67312,66939,66780,75187,74539,73917,74441,74066,64471,63745,63953,64361,63818
3,0,1,1023,78464,78107,77203,77194,77856,70730,69657,70196,69785,69621,78778,78112,77522,78023,77602,67271,66553,66769,67189,66629
4,31,1,1023,74915,74572,73738,73741,74350,67892,66827,67314,66950,66777,75184,74535,73922,74445,74068,64472,63746,63941,64375,63816
5,0,1,1023,78473,78098,77206,77194,77864,70736,69652,70190,69789,69610,78788,78102,77522,78016,77619,67286,66554,66767,67185,66624
6,31,1,1023,74936,74580,73732,73757,74357,67891,66832,67318,66970,66783,75189,74534,73931,74453,74088,64494,63764,63946,64371,63826
7,0,1,1023,78495,78121,77205,77213,77866,70751,69669,70208,69815,69625,78805,78116,77540,78044,77623,67300,66575,66770,67193,66641
8,31,1,1023,74926,74582,73731,73736,74350,67885,66824,67313,66956,66788,75189,74527,73920,74452,74069,64477,63775,63952,64366,63824
9,0,1,1023,78471,78110,77184,77181,77866,70724,69649,70191,69788,69616,78771,78100,77509,78011,77606,67275,66565,66766,67181,66622
10,31,1,1023,74942,74594,73748,73747,74358,67894,66833,67323,66960,66793,75197,74545,73928,74459,74085,64482,63766,63968,64387,63830
11,0,1,1023,78502,78130,77217,77204,77877,70738,69672,70211,69803,69622,78822,78122,77542,78033,77635,67293,66573,66780,67208,66645
12,31,1,1023,74938,74596,73739,73737,74359,67884,66835,67324,66953,66784,75191,74527,73937,74458,74084,64474,63773,63956,64387,63823
13,0,1,1023,78505,78134,77214,77221,77890,70739,69674,70218,69802,69632,78805,78124,77547,78049,77643,67295,66583,66781,67221,66645
14,31,1,1023,74933,74581,73739,73740,74358,67887,66833,67318,66946,66779,75184,74528,73924,74458,74079,64475,63764,63946,64398,63811
15,0,1,1023,78481,78125,77206,77197,77868,70732,69661,70198,69790,69617,78793,78102,77524,78024,77621,67280,66557,66761,67212,66622
16,31,1,1023,74933,74601,73746,73747,74366,67891,66838,67315,66952,66792,75191,74528,73921,74456,74077,64481,63772,63945,64399,63818
17,0,1,1023,78470,78108,77197,77180,77857,70737,69651,70180,69777,69613,78782,78086,77505,78014,77600,67272,66551,66741,67209,66623
18,31,1,1023,74942,74595,73754,73746,74371,67906,66846,67316,66950,66800,75198,74525,73934,74462,74084,64487,63772,63957,64406,63835
19,0,1,1023,78489,78137,77208,77194,77885,70755,69669,70197,69789,69636,78807,78106,77541,78036,77631,67293,66583,66768,67224,66645
20,31,1,1023,74938,74604,73749,73739,74373,67906,66836,67323,66952,66802,75215,74532,73940,74474,74089,64493,63782,63964,64397,63834
21,0,1,1023,78489,78141,77207,77198,77881,70751,69664,70211,69791,69634,78805,78108,77525,78043,77627,67296,66581,66776,67213,66634
22,31,1,1023,74928,74595,73731,73726,74347,67901,66830,67308,66935,66786,75192,74525,73923,74458,74069,64481,63775,63960,64394,63823
23,0,1,1023,78500,78127,77208,77191,77874,70754,69667,70200,69801,69623,78807,78110,77541,78046,77625,67297,66580,66780,67220,66644
