rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,-1,6716000,6690656,6568933,6611391,6542973,6595034,6592360,6569651,6647810,6542349,6640409,6577636,6495252,6603552,6576655,6508713,6546000,6503299,6525676,6405980
1,0,1,-1,6726849,6701774,6579996,6623254,6553368,6606207,6602476,6580643,6659051,6553312,6651416,6589766,6506868,6616106,6588855,6520323,6558342,6514189,6537491,6417811
2,31,1,-1,6716933,6690957,6569999,6613182,6543088,6596874,6592390,6570455,6648779,6542388,6641089,6579019,6495855,6605765,6578529,6509217,6546668,6503981,6526609,6406464
3,0,1,-1,6728644,6702212,6581062,6625619,6554819,6608496,6604209,6582292,6661367,6554572,6653476,6592006,6507776,6617578,6590752,6521450,6559137,6515953,6539092,6418030
4,31,1,-1,6716374,6690094,6569772,6613605,6543013,6595745,6592150,6569720,6649725,6541841,6641658,6579536,6495706,6605346,6578091,6509307,6546997,6502985,6526329,6406489
5,0,1,-1,6728917,6701828,6581146,6625616,6554545,6607969,6603823,6581462,6661468,6554007,6653320,6592297,6508158,6617666,6591052,6521885,6559371,6515470,6538927,6417790
6,31,1,-1,6716570,6690037,6568863,6613758,6542237,6595500,6591988,6569119,6649142,6541729,6640254,6579487,6495496,6605462,6577323,6508133,6546510,6503661,6525866,6405494
7,0,1,-1,6727820,6701786,6579806,6625372,6553606,6607214,6603350,6580688,6660286,6553442,6652777,6591151,6507222,6616772,6589005,6520842,6558421,6514744,6538365,6417198
8,31,1,-1,6716958,6690425,6568555,6613727,6542553,6595682,6592189,6569221,6648742,6541505,6640694,6579312,6495565,6604496,6577918,6509201,6546779,6503448,6526652,6406502
9,0,1,-1,6729510,6703861,6580985,6626233,6554724,6608246,6605027,6582180,6661906,6554069,6654057,6592390,6508381,6617878,6591193,6522270,6560983,6516078,6539005,6419393
10,31,1,-1,6717714,6691733,6568107,6613943,6542150,6595974,6592150,6569627,6649120,6540609,6640749,6578705,6495252,6604663,6578118,6508525,6546548,6502605,6526366,6405782
11,0,1,-1,6729567,6704041,6580363,6626549,6555106,6607812,6605013,6582097,6661928,6553111,6653922,6592156,6507972,6616815,6590613,6521964,6559706,6515934,6538975,6417934
12,31,1,-1,6717216,6691284,6568690,6614501,6543021,6595650,6592445,6569291,6649612,6540447,6641894,6579817,6496172,6604344,6578483,6508785,6546828,6502716,6526831,6404397
13,0,1,-1,6729381,6703370,6580144,6626057,6554055,6607714,6604455,6581278,6662478,6552144,6654055,6591771,6508498,6616947,6591198,6520561,6559414,6515398,6539058,6417252
14,31,1,-1,6717078,6690808,6568099,6613484,6541574,6595640,6592208,6568988,6649591,6540473,6640671,6579282,6496043,6603356,6578273,6507789,6546312,6502217,6525480,6404517
15,0,1,-1,6729367,6702960,6579899,6625785,6553080,6607883,6603591,6581560,6661443,6552804,6653368,6591270,6508316,6616286,6589851,6520774,6559543,6514637,6538125,6416634
16,31,1,-1,6715711,6690606,6567281,6612919,6540206,6594269,6591069,6568507,6648075,6539551,6640547,6578154,6494507,6603059,6576357,6507401,6545530,6501364,6524929,6404061
17,0,1,-1,6728891,6703649,6580522,6626053,6554329,6607828,6605331,6581999,6661515,6554304,6654340,6591058,6508191,6616655,6590565,6521969,6559694,6515493,6538555,6417518
18,31,1,-1,6716872,6691603,6567783,6613675,6542294,6595122,6593058,6569437,6648714,6541281,6641330,6579107,6495869,6604074,6577978,6508535,6546522,6502601,6526052,6405119
19,0,1,-1,6728337,6702982,6578773,6625450,6553779,6606164,6604546,6581376,6660815,6552996,6653991,6591190,6507849,6615769,6590621,6520861,6558690,6514936,6538294,6416990
20,31,1,-1,6716527,6692166,6567069,6614008,6542564,6595523,6593456,6569043,6648692,6541685,6641487,6579094,6496807,6604040,6578111,6508448,6545920,6502302,6526477,6404591
21,0,1,-1,6727055,6703803,6578084,6625096,6553598,6606618,6604048,6580362,6660005,6552836,6654213,6590518,6508146,6615786,6588508,6520055,6558393,6513911,6538382,6416183
22,31,1,-1,6715697,6692085,6566703,6613177,6542030,6594787,6592780,6568594,6647674,6540805,6641385,6578757,6496181,6603469,6577014,6507582,6545757,6501929,6526878,6404371
23,0,1,-1,6728391,6704662,6579241,6625891,6553800,6607726,6605102,6581538,6660977,6554361,6654669,6591969,6509639,6615858,6590143,6520942,6559395,6515331,6539385,6418148
24,31,1,-1,6715859,6691518,6566510,6612371,6541824,6594869,6592126,6568517,6647424,6540814,6641770,6578403,6496221,6603402,6577254,6507322,6545916,6501513,6525473,6404684
25,0,1,-1,6727602,6703166,6578786,6625155,6553893,6606876,6604353,6581234,6660193,6553961,6654606,6590505,6508936,6615303,6589327,6520404,6558872,6514807,6538547,6416913
26,31,1,-1,6715143,6690781,6566350,6612254,6542031,6594633,6591666,6569331,6647868,6541956,6641179,6578556,6495926,6602680,6576039,6507567,6545280,6501238,6525521,6403926
27,0,1,-1,6727400,6703145,6578778,6625789,6554980,6608176,6604413,6582048,6660717,6554639,6654193,6592037,6508749,6615446,6590086,6520818,6559515,6514560,6538327,6417114
28,31,1,-1,6715552,6692135,6567410,6614215,6543545,6596433,6593170,6570390,6649321,6542163,6642241,6580095,6497571,6603480,6578272,6508929,6547035,6502902,6526438,6405105
29,0,1,-1,6727433,6703752,6578752,6626205,6555624,6608385,6605666,6581634,6660893,6554552,6654445,6592107,6508904,6615381,6590773,6521281,6559244,6514599,6538793,6416799
30,31,1,-1,6715675,6690474,6566590,6613446,6543131,6596374,6593675,6568940,6648764,6542472,6641978,6579324,6497078,6602615,6577634,6508145,6546374,6501816,6525926,6404391
31,0,1,-1,6727549,6702374,6578114,6625556,6554622,6608070,6605018,6579975,6660444,6554476,6653360,6591340,6508101,6615555,6589442,6520172,6558851,6514399,6537911,6416496
32,31,1,-1,6716566,6691443,6567234,6614429,6543504,6596591,6593507,6569452,6648900,6542734,6641014,6579881,6496836,6604539,6577247,6508363,6546612,6502287,6526621,6405131
33,0,1,-1,6728589,6703225,6579263,6626810,6554920,6607860,6604868,6581025,6661321,6554943,6653660,6591453,6508511,6616689,6590663,6520903,6558884,6515587,6539223,6417723
34,31,1,-1,6716251,6690704,6566660,6614341,6542368,6595116,6592240,6568402,6648181,6541763,6640760,6578746,6496820,6603732,6577619,6507775,6545687,6502027,6526149,6404581
35,0,1,-1,6729075,6703977,6579000,6627240,6554923,6608320,6605116,6581986,6661292,6555369,6654232,6591969,6509468,6616424,6590390,6521095,6559810,6515935,6539529,6417679
36,31,1,-1,6715690,6690841,6567169,6614520,6542807,6594681,6593013,6569115,6648042,6542099,6640799,6579271,6496309,6603378,6577409,6507872,6546605,6502686,6526088,6404879
37,0,1,-1,6727708,6703053,6579008,6626652,6554635,6607225,6604707,6580992,6659976,6554633,6653572,6591554,6508481,6615929,6589590,6521041,6559780,6514862,6538721,6417341
38,31,1,-1,6715974,6691076,6566604,6613790,6542157,6594815,6593014,6568789,6648046,6542607,6641149,6579605,6496244,6603146,6577492,6508084,6546221,6502328,6526281,6404731
39,0,1,-1,6728958,6703100,6579293,6626411,6555260,6607574,6605243,6581124,6660772,6555689,6653824,6592262,6508434,6617081,6590470,6520964,6559239,6515174,6540012,6417588
40,31,1,-1,6715774,6691050,6566949,6614467,6542568,6595724,6593061,6569112,6648350,6542275,6641231,6579928,6495840,6604181,6577597,6508558,6546703,6502848,6526756,6404663
41,0,1,-1,6727854,6703272,6578238,6626868,6554280,6608301,6604930,6581393,6660635,6555035,6654016,6592118,6508477,6616277,6590126,6521204,6559273,6515100,6539327,6416902
42,31,1,-1,6715548,6689963,6565964,6614331,6542422,6594970,6592410,6569073,6648191,6542105,6640706,6579449,6495465,6603863,6577304,6507510,6546069,6501869,6526050,6404676
43,0,1,-1,6728040,6701976,6578278,6626643,6555191,6607415,6605185,6581441,6660718,6554430,6653863,6591703,6508399,6616129,6590262,6520795,6559283,6514690,6538732,6416965
44,31,1,-1,6715820,6689148,6566275,6614802,6542457,6595795,6592862,6569189,6648193,6541909,6641007,6579404,6496525,6604030,6577383,6508201,6546395,6501844,6525642,6404571
45,0,1,-1,6728334,6702155,6578907,6627242,6554831,6608273,6605086,6581192,6660951,6555071,6653684,6592018,6508890,6617170,6590436,6520984,6558798,6515170,6538309,6417971
46,31,1,-1,6715151,6689731,6566237,6614845,6543253,6595143,6592662,6569025,6648502,6541718,6640943,6579048,6496358,6603598,6577625,6507923,6544817,6501821,6525214,6404947
47,0,1,-1,6727335,6701821,6578604,6626782,6554287,6607334,6604827,6581262,6660408,6554470,6653487,6591996,6508350,6615174,6590550,6521085,6558261,6514304,6538397,6417250
48,31,1,-1,6714727,6689643,6566123,6614399,6542769,6595308,6591809,6569702,6647547,6542026,6640817,6579154,6496144,6603435,6577483,6508082,6545622,6501907,6525223,6404573
49,0,1,-1,6726879,6701627,6578427,6626499,6555072,6607518,6604847,6582019,6659959,6554806,6653660,6591466,6508202,6616024,6589667,6520459,6559183,6514917,6537727,6417592
50,31,1,-1,6714913,6689826,6566091,6614073,6543142,6594713,6592612,6569321,6647644,6541714,6641558,6579179,6495652,6602809,6576955,6507486,6546155,6502184,6525088,6404784
51,0,1,-1,6726735,6701676,6577841,6625974,6554897,6606562,6603151,6581119,6659859,6554088,6653262,6590598,6507679,6614388,6588539,6520142,6558503,6514422,6537503,6416950
52,31,1,-1,6715512,6690574,6566832,6614900,6543645,6595022,6592479,6569514,6648287,6542556,6640835,6579605,6496873,6604412,6577975,6508376,6546259,6502542,6526080,6405732
53,0,1,-1,6728015,6703059,6578945,6627294,6555840,6607561,6604690,6582184,6660817,6554880,6654394,6592624,6509163,6616945,6590075,6521462,6559698,6515478,6538932,6418402
54,31,1,-1,6714831,6689187,6565753,6613801,6542817,6594240,6591602,6568775,6647558,6540999,6639563,6578486,6495402,6603179,6576744,6508224,6545747,6501488,6524942,6404547
55,0,1,-1,6727347,6701970,6578390,6626330,6555410,6607394,6604967,6581273,6660244,6553999,6652944,6591740,6508561,6616068,6589732,6520782,6558707,6514855,6537346,6417180
56,31,1,-1,6715835,6690307,6566282,6614615,6543766,6595003,6592916,6569464,6647668,6541751,6640341,6579206,6497285,6603213,6577343,6508145,6545377,6502540,6525524,6404832
57,0,1,-1,6727979,6702489,6578159,6626740,6555781,6607663,6604102,6581613,6659715,6555002,6653550,6591153,6508761,6614578,6589863,6520864,6558791,6514690,6538559,6417438
58,31,1,-1,6714818,6690094,6565624,6614267,6542638,6594633,6591274,6569080,6646779,6541668,6640886,6578033,6495949,6601481,6576724,6507721,6544421,6501094,6525567,6404281
59,0,1,-1,6727196,6702928,6578076,6626426,6555183,6607235,6604886,6581340,6660061,6553767,6654663,6591190,6508793,6614122,6589775,6520834,6557841,6514103,6538465,6417043
60,31,1,-1,6714759,6690541,6566364,6614566,6542806,6595151,6592127,6569069,6647147,6541674,6642203,6578931,6496292,6602144,6577153,6507709,6545188,6501702,6525638,6404378
61,0,1,-1,6727567,6702603,6578500,6625895,6555013,6607431,6603774,6581197,6659422,6553913,6654604,6591212,6508589,6614403,6589712,6520287,6558229,6514608,6538456,6416655
62,31,1,-1,6715907,6690686,6566938,6613874,6542467,6595116,6592372,6568599,6647404,6542071,6641491,6579019,6496404,6602059,6577555,6507659,6545309,6501435,6525896,6403839
63,0,1,-1,6726832,6701785,6577246,6625013,6553644,6605978,6603546,6580176,6659316,6553235,6653343,6590656,6507377,6614148,6589644,6519855,6557792,6513049,6536856,6415396
64,31,1,-1,6715361,6690320,6565880,6613449,6542186,6594383,6591699,6568793,6647657,6541673,6641141,6579027,6496648,6602360,6578085,6507728,6546158,6501050,6525158,6404676
65,0,1,-1,6727257,6701889,6578243,6625572,6554396,6606661,6603436,6580192,6659801,6553857,6654052,6590913,6508057,6614239,6589852,6520072,6557912,6513489,6537111,6417085
66,31,1,-1,6715249,6689131,6566286,6613895,6542214,6593944,6591581,6568319,6647311,6541742,6640894,6578633,6495568,6601879,6577648,6507422,6545352,6500704,6524172,6404053
67,0,1,-1,6726958,6701596,6577001,6626281,6553770,6606072,6603436,6580497,6659558,6553558,6653474,6591316,6507144,6613909,6589865,6519996,6558372,6513820,6536629,6416758
68,31,1,-1,6714963,6690258,6566137,6614643,6542187,6594225,6591677,6569110,6647156,6541963,6641452,6579433,6495362,6601868,6577622,6507350,6545208,6502009,6524885,6404146
69,0,1,-1,6726357,6701236,6576864,6625434,6553201,6605413,6602804,6579902,6658332,6553296,6652373,6590626,6506657,6613518,6588688,6518978,6556671,6513696,6536619,6415323
70,31,1,-1,6715097,6689513,6564875,6613555,6541398,6593637,6591105,6567561,6646656,6541069,6639658,6578443,6494975,6601107,6576101,6506524,6544986,6500940,6524082,6404194
71,0,1,-1,6727607,6702343,6578408,6626542,6554802,6606804,6604690,6580683,6660100,6554842,6654495,6591808,6508550,6614716,6589309,6519938,6559005,6515138,6537772,6417800
72,31,1,-1,6715316,6689767,6566650,6613680,6542314,6594105,6592089,6568638,6646771,6542641,6640728,6578315,6495612,6601773,6576703,6507175,6545734,6502011,6524898,6405019
73,0,1,-1,6727778,6702139,6578683,6626180,6554532,6606116,6604920,6580948,6659502,6555094,6653450,6590894,6508440,6615023,6589440,6520225,6559125,6514618,6537609,6417471
74,31,1,-1,6714591,6689584,6567124,6613477,6542842,6593679,6591650,6567907,6646663,6541961,6640483,6578431,6495341,6601133,6576921,6507235,6546260,6501887,6524246,6404715
75,0,1,-1,6727823,6703162,6579723,6626944,6555873,6607358,6605151,6581528,6660773,6555419,6655319,6592724,6509186,6615073,6590555,6521162,6560401,6516303,6537842,6418720
76,31,1,-1,6714860,6689291,6566129,6613482,6542521,6593327,6591579,6567338,6647201,6541205,6640852,6578607,6495156,6600714,6576423,6506829,6546473,6501880,6523824,6404757
77,0,1,-1,6728163,6702459,6579664,6626670,6555878,6606420,6604164,6580891,6660475,6554664,6653662,6591555,6508571,6613843,6589595,6520162,6560368,6515738,6538119,6417735
78,31,1,-1,6715610,6689738,6567703,6614267,6543029,6594396,6591738,6568460,6647298,6541401,6640216,6578945,6496070,6601580,6575973,6507199,6546702,6502909,6524686,6404676
79,0,1,-1,6726930,6700922,6578605,6625963,6554405,6606713,6603708,6580560,6659611,6553748,6653008,6591314,6507209,6613966,6588466,6520424,6558787,6514756,6536924,6416403
80,31,1,-1,6714418,6688955,6565656,6613273,6542268,6593846,6591378,6567335,6647205,6540968,6639521,6578060,6495217,6601206,6575678,6507664,6545733,6502070,6524299,6403825
81,0,1,-1,6727095,6701576,6578047,6625600,6554251,6606522,6603686,6580213,6659739,6554319,6652582,6591029,6507309,6613832,6588629,6520141,6558722,6514758,6537950,6417198
82,31,1,-1,6715168,6690223,6566271,6613919,6542663,6594160,6591981,6568645,6647280,6541586,6640157,6578550,6495376,6601769,6576710,6507944,6546194,6502520,6525821,6405115
83,0,1,-1,6727593,6702476,6578302,6625788,6554739,6606734,6604057,6580635,6660687,6554388,6653125,6591116,6507979,6613635,6588636,6520380,6559433,6515300,6537978,6417226
84,31,1,-1,6715503,6691125,6566157,6613515,6543027,6594459,6592511,6568647,6648535,6542284,6640455,6578741,6495806,6601135,6576292,6507896,6546391,6502398,6525098,6405397
85,0,1,-1,6727394,6702328,6578512,6626351,6555001,6606988,6604916,6581601,6660775,6554808,6653021,6591623,6507924,6614233,6589080,6520532,6559384,6515393,6537470,6417880
86,31,1,-1,6714459,6690261,6566089,6613294,6542924,6594213,6592126,6568683,6647001,6541855,6639581,6578753,6495229,6601446,6576215,6507847,6546506,6502200,6524595,6405713
87,0,1,-1,6727077,6702176,6578493,6626045,6554722,6606253,6604789,6580850,6659524,6554214,6653040,6590718,6508277,6613592,6588004,6520762,6559348,6514979,6537258,6418295
88,31,1,-1,6715453,6690622,6566894,6614401,6543157,6595015,6592917,6568913,6647895,6542212,6640940,6579052,6496171,6602402,6576156,6508108,6547469,6503212,6525491,6405768
89,0,1,-1,6727901,6701788,6578267,6625793,6554444,6606297,6604510,6580011,6659689,6554567,6652703,6590349,6507250,6613871,6588422,6520253,6559471,6515340,6537349,6417188
90,31,1,-1,6716129,6690455,6566162,6614321,6542630,6594673,6592059,6568318,6647677,6542139,6639754,6578395,6495064,6601826,6575771,6508001,6546414,6502393,6524642,6404554
91,0,1,-1,6727588,6701813,6578179,6625724,6554240,6606799,6604655,6580531,6659383,6554290,6652230,6590563,6506932,6612970,6588355,6519806,6558833,6514460,6537569,6416955
92,31,1,-1,6715403,6689369,6566035,6613442,6542020,6594533,6592480,6568375,6646977,6541377,6639858,6578201,6494727,6600908,6575877,6506895,6545600,6502586,6525099,6403838
93,0,1,-1,6727258,6702126,6577592,6626121,6554411,6607389,6604450,6581043,6660034,6554202,6653205,6591316,6506784,6612876,6588594,6520245,6558905,6514891,6537920,6416864
94,31,1,-1,6716186,6690180,6566641,6614535,6542590,6595736,6592768,6568872,6648408,6542289,6640977,6579433,6495292,6601443,6577049,6507468,6546673,6502402,6525638,6404968
95,0,1,-1,6726526,6701475,6577575,6625430,6553092,6606895,6603790,6579366,6659513,6553771,6652372,6590131,6506784,6612643,6587951,6519344,6557802,6513671,6536919,6415969
96,31,1,-1,6714461,6689055,6564985,6612966,6540118,6593742,6591245,6566694,6646618,6540532,6639703,6577780,6494189,6600351,6574886,6506560,6543691,6500953,6524097,6403602
97,0,1,-1,6728288,6703441,6578575,6626558,6554522,6607953,6605515,6581412,6661058,6555561,6654153,6592392,6508487,6614586,6590018,6520871,6558504,6515470,6538324,6418206
98,31,1,-1,6714882,6690487,6565694,6613595,6541937,6594684,6592430,6567955,6648202,6542174,6640973,6578625,6495088,6601033,6576220,6507510,6544320,6502185,6524532,6404841
99,0,1,-1,6727322,6702705,6578132,6626112,6554431,6606894,6603944,6580525,6660271,6554184,6653877,6591298,6507771,6613542,6589117,6520588,6558467,6515216,6538170,6417163
100,31,1,-1,6714458,6690187,6565678,6613280,6541868,6593947,6591090,6568334,6647522,6541485,6640812,6578942,6495359,6600829,6575432,6507422,6545410,6502327,6524749,6404983
101,0,1,-1,6726309,6702286,6576976,6625984,6554009,6606230,6603440,6580417,6659233,6553579,6653140,6591245,6507422,6612954,6589059,6520371,6558544,6514462,6537499,6417282
102,31,1,-1,6714594,6689753,6564690,6613713,6541754,6594258,6591362,6568363,6647387,6541340,6640394,6578309,6495708,6600823,6576251,6507131,6545607,6501918,6524149,6405238
103,0,1,-1,6726634,6702564,6577403,6625797,6553967,6606042,6604294,6580465,6660244,6553885,6652829,6590962,6508005,6613105,6588255,6519826,6558157,6514195,6536381,6416916
104,31,1,-1,6715043,6690119,6565945,6613168,6542213,6593512,6592067,6568263,6648052,6541444,6639664,6578354,6496292,6600709,6576783,6507158,6545400,6501675,6524053,6404543
105,0,1,-1,6726093,6700699,6576995,6624290,6553657,6604970,6603609,6580223,6659199,6553050,6651880,6590094,6507649,6611877,6588570,6519280,6557838,6513483,6536328,6416268
106,31,1,-1,6714417,6688437,6564306,6611862,6541228,6592312,6590901,6567615,6646279,6540642,6639221,6577714,6494954,6600030,6575059,6505858,6544403,6501091,6523817,6402885
107,0,1,-1,6728680,6703170,6577724,6626039,6554460,6606739,6604223,6581987,6660424,6555568,6654147,6591866,6508903,6614470,6588960,6520939,6559551,6515312,6537822,6417531
108,31,1,-1,6715145,6690477,6565253,6612648,6542022,6593575,6591014,6568497,6647268,6542668,6641184,6578845,6495350,6600926,6575982,6507291,6544941,6501889,6524261,6404503
109,0,1,-1,6727945,6704131,6578125,6625809,6554635,6606757,6604076,6581672,6660288,6555598,6654758,6591782,6508666,6614673,6589465,6520951,6559448,6515199,6538470,6417584
110,31,1,-1,6715605,6691221,6565616,6613512,6541908,6593650,6591677,6568901,6647465,6542996,6641208,6578814,6495418,6601428,6575826,6507813,6545875,6502446,6524778,6404698
111,0,1,-1,6728109,6703806,6577775,6626473,6554551,6606303,6603644,6581684,6660129,6554951,6655110,6591453,6507863,6614253,6589004,6521104,6559641,6515286,6537920,6417760
112,31,1,-1,6715035,6691357,6565463,6614580,6542103,6594491,6592420,6569833,6647793,6543020,6641993,6579412,6496286,6601184,6577107,6508207,6546042,6502138,6525142,6405591
113,0,1,-1,6727509,6703884,6577821,6626884,6555015,6607448,6604879,6582225,6661111,6555369,6655234,6592248,6508632,6614068,6590348,6521511,6559553,6514847,6538713,6418391
114,31,1,-1,6715106,6690342,6564762,6613587,6542437,6593426,6591965,6568688,6648023,6542329,6640724,6578314,6495314,6601181,6576555,6507244,6545628,6501248,6524452,6405014
115,0,1,-1,6727762,6702957,6578079,6626390,6554677,6606002,6604207,6581346,6660659,6555110,6653304,6591306,6507547,6614153,6588746,6520310,6558978,6515117,6537509,6417522
116,31,1,-1,6716053,6691138,6565858,6613912,6543048,6593969,6592138,6569475,6648574,6542299,6640211,6578869,6495765,6601572,6577138,6507828,6546318,6502811,6525068,6405060
117,0,1,-1,6728415,6702335,6578177,6626450,6554929,6606718,6605071,6582057,6660858,6555086,6653187,6591676,6507756,6614815,6590144,6520543,6559382,6515334,6538110,6417321
118,31,1,-1,6715625,6689455,6565514,6613637,6542425,6593430,6592125,6569385,6648517,6542309,6639747,6579020,6494481,6602432,6576914,6508040,6546493,6502151,6524686,6404805
119,0,1,-1,6728709,6702885,6578494,6625275,6554263,6606809,6605053,6582214,6660972,6555097,6653525,6592238,6508061,6614599,6590352,6521109,6559935,6515549,6537427,6417363
120,31,1,-1,6715993,6691080,6566656,6612828,6541953,6594368,6592407,6569051,6648138,6541479,6639930,6579606,6495765,6602114,6577947,6507726,6546491,6502214,6524601,6405605
121,0,1,-1,6727603,6703264,6577456,6624623,6553607,6606479,6604293,6581024,6660159,6553708,6652997,6591319,6507628,6613994,6590190,6520399,6559115,6514789,6537183,6417908
122,31,1,-1,6716184,6690880,6566301,6612488,6542895,6594597,6593066,6569133,6648510,6542127,6640656,6579862,6495800,6602096,6577580,6508286,6546211,6502651,6524745,6405778
123,0,1,-1,6726874,6702267,6577559,6623933,6554306,6605889,6604468,6580669,6659823,6553872,6652383,6591159,6507820,6613321,6588040,6519641,6558420,6514323,6536631,6416648
124,31,1,-1,6716326,6691870,6566775,6613055,6543190,6594496,6592921,6569327,6648664,6542143,6641399,6579930,6496599,6602296,6577565,6508181,6547669,6503160,6525070,6405812
125,0,1,-1,6727579,6703171,6578013,6624808,6554143,6606299,6604265,6581283,6660319,6553174,6654067,6591728,6508030,6614010,6590125,6520130,6559703,6514064,6537430,6417098
