rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,1,8,76746,76313,75556,75522,76134,69462,68239,68814,68425,68286,77009,76316,75798,76241,75864,65937,65206,65387,65867,65282
1,0,1,8,77319,76892,76115,76062,76704,69916,68694,69271,68873,68748,77577,76876,76374,76809,76432,66377,65653,65829,66319,65726
2,1,1,8,76754,76324,75571,75515,76151,69458,68269,68822,68443,68310,77009,76313,75805,76251,75873,65940,65220,65394,65882,65287
3,0,1,8,77343,76900,76140,76087,76724,69923,68725,69284,68917,68771,77608,76891,76391,76823,76441,66397,65652,65847,66349,65751
4,1,1,8,76766,76322,75576,75517,76152,69457,68259,68808,68454,68313,77006,76312,75812,76255,75872,65941,65196,65393,65896,65292
5,0,1,8,77349,76901,76133,76091,76736,69920,68720,69276,68908,68778,77585,76890,76400,76831,76450,66393,65644,65848,66363,65749
6,1,1,8,76758,76317,75567,75521,76147,69457,68258,68813,68442,68314,77011,76306,75798,76242,75864,65933,65190,65390,65901,65288
7,0,1,8,77335,76899,76124,76082,76723,69911,68721,69273,68906,68772,77578,76883,76382,76823,76433,66381,65635,65840,66363,65743
8,1,1,8,76766,76328,75566,75525,76168,69474,68276,68822,68458,68317,76998,76307,75808,76256,75871,65939,65200,65398,65909,65295
9,0,1,8,77334,76886,76110,76077,76730,69919,68724,69280,68904,68769,77572,76880,76385,76820,76429,66379,65642,65843,66350,65742
10,1,1,8,76774,76321,75556,75524,76164,69461,68287,68817,68456,68325,77008,76309,75819,76257,75865,65930,65195,65393,65909,65285
11,0,1,8,77353,76896,76123,76090,76736,69917,68732,69279,68926,68788,77590,76883,76388,76820,76430,66383,65647,65839,66355,65732
12,1,1,8,76779,76318,75563,75535,76156,69464,68281,68812,68463,68323,77014,76318,75820,76249,75867,65937,65204,65388,65903,65281
13,0,1,8,77346,76883,76120,76084,76725,69914,68729,69268,68907,68773,77578,76880,76382,76822,76426,66384,65643,65829,66344,65724
14,1,1,8,76781,76338,75571,75543,76174,69465,68294,68823,68468,68328,77033,76327,75827,76271,75879,65950,65210,65391,65915,65288
