rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,255,6729434,6701152,6581827,6622271,6557903,6607305,6602200,6576595,6658124,6551520,6647661,6589583,6505431,6613789,6588692,6521458,6558068,6514629,6535945,6417154
1,0,1,255,6741281,6712880,6593687,6634887,6569444,6620204,6614672,6589666,6671282,6563864,6660710,6602641,6518375,6627520,6601481,6534213,6571624,6527904,6548596,6428622
2,31,1,255,6727778,6699619,6580544,6622092,6555799,6606942,6601038,6575476,6658064,6549729,6646843,6588756,6504095,6612635,6586754,6520453,6557703,6513987,6534768,6415285
3,0,1,255,6740931,6712368,6593399,6635921,6569273,6620523,6613712,6588837,6671509,6564038,6660837,6602012,6517818,6626942,6600221,6534983,6571302,6527088,6548923,6428975
4,31,1,255,6728060,6700299,6580410,6623007,6556846,6606974,6600352,6575838,6658114,6549914,6647841,6588428,6505377,6614285,6586722,6521348,6557468,6513467,6536288,6416574
5,0,1,255,6740419,6711845,6591448,6635274,6568563,6619379,6613072,6588017,6670813,6562251,6659716,6600912,6518049,6626407,6599251,6533989,6570327,6527180,6547928,6428834
6,31,1,255,6727886,6700133,6579452,6624196,6556173,6607314,6601466,6575932,6658749,6550443,6647229,6588911,6505145,6614214,6587875,6521706,6557496,6514484,6535474,6416705
7,0,1,255,6740044,6712660,6591795,6635908,6568462,6619605,6613195,6587534,6670429,6562721,6660477,6601434,6517925,6626192,6599953,6534034,6571320,6527116,6548063,6428976
8,31,1,255,6727899,6699712,6579581,6623360,6555776,6607564,6601158,6574568,6657741,6549834,6647200,6588060,6504603,6613736,6586330,6520310,6557455,6513501,6535306,6415916
9,0,1,255,6741172,6711965,6591826,6635328,6569078,6620224,6613913,6587947,6670805,6562981,6659995,6601544,6517822,6627295,6600583,6533717,6571448,6527668,6548839,6429231
