rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6715543,6690461,6566911,6606344,6542261,6593555,6588487,6563111,6646180,6536721,6637475,6577806,6492622,6602506,6573770,6504865,6546407,6501375,6521069,6404387
1,0,0,0,6728321,6702489,6579267,6620246,6554471,6607334,6600868,6576951,6659604,6549596,6651114,6591251,6505340,6616501,6586947,6518509,6559935,6514433,6534841,6417143
2,31,0,0,6715854,6690711,6567277,6607891,6542107,6594273,6587990,6565202,6646932,6536734,6638691,6579045,6494114,6604502,6575504,6505897,6547195,6501995,6522653,6405029
3,0,0,0,6728501,6703043,6579812,6620733,6554468,6606329,6600728,6576971,6659881,6549635,6651384,6592275,6506162,6618428,6588461,6518316,6560521,6514317,6535531,6417424
4,31,0,0,6716016,6691716,6567587,6609097,6542349,6594831,6589091,6565417,6647574,6537363,6639079,6580077,6494379,6604914,6575795,6506472,6547177,6502383,6522658,6404313
5,0,0,0,6727017,6702231,6577880,6619662,6553387,6605463,6600508,6576045,6658161,6547752,6650487,6590793,6504949,6615571,6587226,6517445,6559042,6514273,6533767,6414728
6,31,0,0,6716270,6691664,6567681,6609312,6542159,6595043,6590042,6565326,6647593,6536214,6639472,6579839,6494693,6604705,6575738,6505703,6547126,6502778,6523054,6403030
7,0,0,0,6728841,6703539,6579434,6621267,6554445,6607357,6602715,6577619,6660907,6550134,6651840,6592659,6506546,6618228,6587609,6519253,6559743,6515479,6535716,6415778
8,31,0,0,6716028,6690490,6566977,6609174,6541804,6595045,6590223,6564901,6647975,6537073,6638873,6579752,6494085,6605186,6575096,6506071,6547256,6502320,6523131,6403230
9,0,0,0,6728401,6702970,6578809,6620652,6553490,6606722,6601314,6577113,6659763,6548755,6651376,6592212,6505698,6616646,6587250,6519084,6560177,6514871,6535558,6415285
