rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,0,6720077,6693875,6573486,6613082,6548754,6599186,6596221,6569475,6650815,6546249,6638863,6584244,6496646,6607504,6581360,6510906,6549756,6508054,6528036,6405856
1,0,1,0,6732080,6705641,6585356,6626319,6559949,6610696,6607905,6580851,6663926,6558490,6651705,6597356,6508704,6619895,6594176,6524162,6562223,6520901,6540285,6417402
2,31,1,0,6720964,6694534,6573950,6615136,6549099,6599431,6596394,6569930,6652621,6546248,6639756,6585922,6497854,6608456,6582112,6512467,6550632,6508853,6529228,6405277
3,0,1,0,6732420,6705696,6585322,6626399,6560867,6611824,6608577,6581874,6664610,6558701,6651895,6597338,6509397,6620486,6593931,6525199,6564073,6521842,6541358,6417204
4,31,1,0,6719986,6694040,6572747,6614853,6549017,6599687,6596298,6569606,6651754,6546059,6639834,6585163,6496735,6607939,6581442,6511894,6551263,6508969,6529037,6405031
5,0,1,0,6732777,6706661,6584766,6626651,6561211,6612138,6608767,6581798,6664334,6559224,6653005,6598180,6509364,6620219,6594249,6524455,6564302,6521834,6541242,6417912
6,31,1,0,6720552,6693535,6571940,6613982,6548920,6599371,6596988,6568934,6651217,6546183,6639979,6585228,6496493,6608258,6581602,6511389,6550182,6508801,6528263,6405385
7,0,1,0,6733057,6706080,6584943,6626836,6561233,6611859,6609738,6581926,6664398,6559087,6653377,6598232,6510076,6620800,6594778,6524721,6563612,6521873,6541494,6417849
8,31,1,0,6721313,6694354,6573648,6615253,6550224,6599845,6597288,6570412,6653155,6546901,6641214,6586279,6499191,6609621,6582566,6512449,6551401,6509475,6529235,6406741
9,0,1,0,6733029,6706364,6585523,6627622,6561470,6611527,6609612,6582178,6665204,6558454,6653239,6598027,6511314,6621100,6594949,6524758,6563999,6521938,6541007,6418389
10,31,1,0,6720767,6694265,6573524,6615255,6549299,6599373,6597530,6569814,6652222,6546188,6641071,6585745,6498710,6609395,6581465,6511957,6551062,6509816,6528588,6406610
11,0,1,0,6733569,6706655,6585653,6627626,6561332,6611957,6610020,6582217,6664967,6558222,6653140,6598089,6511247,6620784,6594232,6524937,6563906,6521930,6541555,6418753
12,31,1,0,6722067,6695083,6574762,6616260,6550187,6600536,6598356,6570843,6653233,6546174,6640814,6586689,6499179,6608968,6582808,6513117,6551455,6509689,6530084,6406707
13,0,1,0,6733152,6706314,6585628,6627790,6561166,6611788,6609330,6581840,6664734,6558153,6652137,6597984,6510503,6620592,6594590,6525040,6563350,6521726,6541826,6418058
14,31,1,0,6721278,6694814,6574179,6616139,6549550,6599947,6598276,6570505,6653031,6546601,6640546,6586493,6498333,6608789,6582724,6513097,6551557,6509555,6529831,6406788
15,0,1,0,6733029,6706184,6585114,6627358,6560675,6611539,6609492,6581853,6664755,6559132,6652510,6598186,6510671,6621314,6594419,6525444,6564018,6521377,6541793,6418099
16,31,1,0,6721502,6694515,6573723,6615654,6548909,6599341,6597751,6571075,6652668,6547667,6639826,6586602,6499231,6608751,6582050,6513310,6551022,6509703,6529476,6407626
17,0,1,0,6732963,6706720,6585408,6627129,6560441,6611832,6610460,6582325,6665127,6559424,6652091,6597731,6510605,6620659,6594368,6525675,6563888,6521549,6541588,6419734
18,31,1,0,6721028,6694568,6574948,6615289,6548716,6600133,6598211,6570117,6652472,6546683,6639298,6586370,6498321,6609048,6581397,6513128,6551710,6509561,6529940,6407590
19,0,1,0,6732974,6706253,6586121,6626722,6560686,6611284,6609950,6582123,6664069,6559060,6652087,6598193,6510250,6621436,6593566,6525572,6563215,6521782,6541729,6418907
20,31,1,0,6720754,6693870,6574541,6614334,6548807,6599547,6597616,6569811,6652077,6546303,6640142,6586419,6497418,6609096,6582151,6513039,6550671,6508909,6529163,6406297
21,0,1,0,6732742,6704771,6586326,6625973,6560640,6610747,6609287,6580985,6664126,6558537,6652917,6597990,6509600,6620298,6594185,6524908,6563423,6520749,6542520,6417668
22,31,1,0,6720737,6693359,6574679,6614189,6548743,6599194,6597522,6568936,6652327,6546473,6641098,6586382,6497295,6608386,6582559,6512213,6551076,6508145,6530358,6406388
23,0,1,0,6731703,6705158,6586466,6626080,6559966,6610173,6609062,6581036,6663983,6558748,6653182,6598096,6509485,6620279,6594466,6524638,6563269,6520686,6542347,6417966
24,31,1,0,6719532,6692614,6574304,6614299,6548298,6598087,6597361,6568479,6651582,6545775,6640044,6585694,6497045,6607528,6581883,6512221,6550110,6508056,6529880,6406128
25,0,1,0,6730959,6704955,6585860,6626227,6560023,6610536,6609420,6580683,6664066,6557845,6652403,6597441,6508766,6619521,6594053,6524693,6563165,6520602,6542118,6417989
26,31,1,0,6719729,6693105,6573697,6614543,6547849,6598580,6597557,6569220,6651807,6545785,6640140,6585223,6496644,6607739,6581251,6512399,6550101,6508268,6529447,6406530
27,0,1,0,6731272,6705114,6585192,6625894,6558971,6610104,6609773,6580570,6663189,6558160,6652245,6597421,6508538,6619281,6594017,6524420,6562580,6520331,6541784,6417940
28,31,1,0,6719701,6694266,6573704,6614050,6547908,6598464,6597815,6568601,6651319,6546370,6640985,6585316,6497101,6607125,6581559,6512057,6549760,6508488,6529904,6406401
29,0,1,0,6732107,6706015,6585673,6626808,6560298,6611133,6610703,6581149,6664286,6559171,6653493,6598587,6509765,6620026,6594738,6524992,6562618,6520952,6542743,6419491
30,31,1,0,6719351,6692352,6572920,6613462,6546914,6597974,6597542,6568021,6650663,6545685,6639439,6584798,6496973,6606716,6580331,6511116,6548683,6507689,6529042,6405220
