rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6713856,6690680,6567806,6611008,6543515,6594635,6588186,6567653,6644537,6540424,6640159,6577137,6492061,6603412,6574705,6505847,6544671,6500885,6522323,6403624
1,0,0,0,6727020,6704090,6580171,6624141,6556008,6607761,6601181,6579785,6658275,6553187,6653210,6591200,6505133,6615572,6587091,6519211,6558137,6513881,6535849,6416018
2,31,0,0,6715101,6692793,6568776,6612812,6543671,6595787,6589023,6568121,6646326,6540865,6640947,6578844,6493462,6604480,6575241,6507920,6546688,6501506,6523707,6403979
3,0,0,0,6726439,6704340,6580702,6624212,6555721,6607789,6600498,6580637,6658590,6552718,6653564,6591244,6505578,6616657,6587458,6520580,6558939,6514081,6535787,6416453
4,31,0,0,6715160,6692324,6568899,6612645,6543389,6595631,6588608,6568646,6645772,6540260,6640726,6578826,6493325,6605648,6575730,6507743,6546777,6501878,6522976,6403806
5,0,0,0,6728153,6705626,6581123,6626328,6555977,6609332,6601257,6581679,6659209,6553897,6653846,6592682,6506695,6619294,6589610,6522141,6559887,6515137,6536805,6418584
6,31,0,0,6715358,6692274,6568854,6612509,6542202,6595241,6587377,6567966,6645774,6539604,6639451,6578829,6492678,6604768,6575504,6507803,6545557,6500914,6522462,6404734
7,0,0,0,6727356,6704064,6580648,6624397,6554110,6607074,6599642,6579927,6657719,6551972,6652330,6591073,6505031,6617059,6588419,6520286,6558381,6513849,6535590,6415959
8,31,0,0,6714636,6691218,6567699,6611829,6542389,6594245,6587736,6566953,6645480,6539123,6639283,6578379,6491874,6604095,6575225,6507248,6545582,6501309,6523030,6403632
9,0,0,0,6727784,6703077,6580346,6624869,6555015,6607866,6600989,6580492,6658951,6552465,6652173,6591850,6505298,6617568,6588523,6520936,6559292,6514529,6536645,6416465
10,31,0,0,6715475,6691338,6569423,6613033,6542877,6596382,6588661,6568484,6646763,6539702,6640463,6579871,6493531,6605446,6575844,6508335,6546898,6501976,6524120,6404859
11,0,0,0,6727598,6704272,6580989,6625437,6555924,6607878,6601388,6580539,6658572,6552836,6653886,6592687,6505607,6618394,6588873,6520993,6559041,6514604,6537054,6417959
12,31,0,0,6714669,6690903,6567329,6612352,6542913,6595200,6589182,6567069,6645232,6539135,6639780,6579381,6492521,6604271,6575492,6507676,6545295,6501613,6523133,6404654
13,0,0,0,6727535,6704226,6580303,6625448,6555652,6608165,6602293,6580753,6658578,6552547,6653416,6592850,6505729,6617412,6588861,6521107,6558678,6515070,6537036,6417595
14,31,0,0,6714338,6690872,6567332,6612170,6543039,6595446,6588415,6567243,6644681,6538715,6639775,6578691,6492407,6604921,6575369,6507402,6544129,6500970,6522963,6403675
15,0,0,0,6726742,6703727,6579725,6625333,6554961,6607981,6600543,6579715,6658185,6552440,6653145,6591631,6504679,6616589,6588701,6520562,6557096,6513909,6536319,6417160
16,31,0,0,6714372,6691828,6567512,6613282,6542712,6595666,6589259,6567388,6646429,6539696,6639890,6579283,6492838,6604648,6576538,6508043,6544311,6501210,6523398,6404553
17,0,0,0,6727123,6703426,6580046,6626034,6555296,6608805,6601634,6580667,6658598,6552359,6652679,6592233,6505399,6617871,6588505,6520845,6557541,6514109,6536243,6417070
18,31,0,0,6714472,6690523,6567956,6612857,6542900,6596026,6588271,6567413,6645977,6539733,6639888,6579186,6492583,6604848,6575532,6506851,6544455,6501325,6523205,6403765
19,0,0,0,6727079,6703099,6580512,6624983,6554976,6608723,6601121,6580344,6658632,6552163,6653055,6592961,6505265,6617481,6588298,6520727,6557492,6514735,6535899,6417429
20,31,0,0,6714463,6690869,6568270,6611816,6542525,6596284,6588622,6567147,6645375,6539007,6639729,6579903,6492883,6604528,6574881,6507381,6543565,6501276,6522861,6404741
21,0,0,0,6726729,6703300,6579933,6625053,6555021,6608362,6601976,6579672,6658395,6551422,6653016,6592509,6504994,6617232,6587665,6520071,6556915,6514323,6536071,6417299
22,31,0,0,6714824,6691141,6568585,6613329,6542921,6595977,6589762,6567635,6645451,6539183,6640504,6580007,6493333,6604192,6575322,6507873,6544544,6502208,6524606,6404488
23,0,0,0,6727401,6703623,6580472,6625602,6555545,6608840,6602114,6580217,6657674,6551693,6653307,6592143,6505909,6617480,6587908,6520210,6557328,6514641,6536963,6417148
24,31,0,0,6714992,6691340,6568068,6613590,6543118,6597245,6589477,6567646,6645182,6539547,6640963,6580001,6493627,6605701,6575326,6507193,6544282,6501885,6523790,6405104
25,0,0,0,6726660,6703643,6579987,6625156,6554380,6609291,6601493,6579591,6657254,6551490,6653346,6592207,6505248,6617069,6587295,6520051,6557477,6513564,6536490,6416798
26,31,0,0,6714647,6690751,6567799,6612583,6542524,6596440,6589435,6567468,6644603,6538692,6640201,6579486,6492922,6605083,6574406,6507226,6543867,6501236,6523328,6404174
27,0,0,0,6727464,6704080,6580453,6626197,6555096,6609450,6603234,6580830,6658719,6552600,6654002,6592956,6505879,6618390,6588705,6520710,6557818,6515006,6536584,6417163
28,31,0,0,6714833,6691226,6568371,6613595,6542591,6596454,6590062,6567929,6645992,6539190,6641044,6579846,6493192,6605158,6575073,6507546,6543786,6501915,6522991,6404627
29,0,0,0,6726653,6703673,6580359,6625651,6554611,6609055,6602002,6579718,6658778,6551605,6653496,6591874,6504829,6617732,6587500,6520301,6556537,6514248,6535474,6417481
30,31,0,0,6713909,6690635,6567700,6612419,6542851,6596492,6589172,6566909,6645546,6538375,6640559,6578937,6491934,6604199,6574898,6506888,6543449,6501110,6522867,6404597
31,0,0,0,6725777,6702658,6580359,6625182,6555026,6608633,6601426,6580070,6658233,6551126,6653277,6592031,6504748,6617680,6588366,6519533,6557308,6514709,6536167,6416734
32,31,0,0,6713949,6691462,6568532,6613090,6542679,6596126,6589323,6567736,6645732,6539147,6640744,6579521,6492950,6605896,6576495,6507451,6544477,6501622,6523985,6404555
33,0,0,0,6725351,6702068,6579307,6624234,6553630,6607796,6601437,6578974,6656641,6550278,6652284,6591082,6504698,6617023,6586930,6519078,6556327,6513617,6535929,6416245
34,31,0,0,6713933,6690428,6568529,6611664,6542084,6595961,6589416,6566878,6644383,6538799,6640865,6579353,6492647,6604806,6573790,6506969,6543640,6501401,6523139,6403887
35,0,0,0,6727021,6703392,6580172,6623777,6554197,6608571,6601933,6579633,6657500,6551056,6651890,6592375,6505429,6616768,6587296,6519834,6555909,6514742,6536019,6416487
36,31,0,0,6713942,6690275,6567272,6610878,6541804,6595791,6588467,6566637,6644176,6538237,6638613,6578969,6491603,6603814,6574370,6506445,6542652,6501172,6522269,6404021
37,0,0,0,6726581,6703129,6579720,6623017,6554802,6608072,6601317,6579652,6657318,6550804,6651388,6591683,6504526,6617193,6587115,6519987,6555391,6513762,6535841,6417057
38,31,0,0,6713984,6690535,6567651,6611830,6542299,6595408,6589010,6566900,6644824,6537580,6638734,6578988,6492235,6605131,6574696,6507002,6542834,6501386,6522343,6404196
39,0,0,0,6727268,6703718,6580135,6624504,6554857,6608432,6601292,6580310,6657909,6551521,6652070,6592438,6504820,6618077,6588107,6520695,6556251,6514563,6536249,6417438
40,31,0,0,6714850,6691057,6567610,6611959,6542053,6595743,6588948,6567640,6645507,6539191,6639496,6579267,6491819,6604914,6575170,6506911,6544158,6501170,6522914,6404850
41,0,0,0,6726811,6703170,6580074,6624274,6553747,6608482,6602180,6580052,6657846,6551648,6651514,6591802,6504052,6616473,6588126,6519478,6557375,6514222,6536173,6417110
42,31,0,0,6713289,6690157,6567162,6611518,6541060,6595041,6588532,6567198,6644861,6539074,6637338,6578377,6491442,6602942,6573833,6505998,6543109,6500023,6522647,6404028
43,0,0,0,6726714,6703484,6580342,6624646,6554396,6608377,6602079,6580252,6658052,6552757,6651844,6592509,6505135,6616680,6587821,6520018,6557378,6513970,6537313,6417148
44,31,0,0,6713324,6690641,6567951,6612220,6541311,6595322,6589467,6567373,6644930,6538933,6638455,6579391,6491709,6602777,6574672,6506132,6543543,6500511,6523303,6404495
45,0,0,0,6727387,6702434,6580596,6625570,6554516,6608519,6602826,6580115,6658429,6552214,6652418,6591951,6504660,6615963,6587368,6519821,6557247,6514079,6537347,6417757
46,31,0,0,6714003,6690021,6567744,6612913,6542452,6595513,6589686,6567500,6644967,6538946,6639351,6578965,6492041,6603742,6575531,6506738,6543456,6500821,6523710,6404403
47,0,0,0,6725605,6701975,6579105,6625043,6555078,6607794,6601124,6580229,6657660,6551891,6652597,6591505,6504265,6616150,6588066,6519541,6556060,6513479,6536030,6416729
48,31,0,0,6714381,6691091,6567536,6613183,6543011,6595975,6589624,6568647,6646183,6540260,6640248,6580198,6493009,6605147,6575816,6507723,6544055,6502184,6524465,6405699
49,0,0,0,6726249,6703292,6579774,6624655,6554700,6607804,6602492,6580263,6658021,6551650,6653056,6592431,6504911,6617475,6587767,6520219,6557225,6514353,6536707,6417642
