rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6710627,6683844,6565853,6606957,6541147,6593528,6585038,6564120,6645141,6540438,6636013,6576277,6492343,6601607,6573325,6504022,6545746,6502339,6520897,6402028
1,0,1,1,6722430,6697023,6578116,6621053,6553351,6606531,6596941,6576718,6657881,6552498,6648456,6589135,6504729,6614840,6586505,6517424,6558519,6515073,6534430,6414781
2,31,1,1,6710379,6684652,6565936,6608684,6541232,6594301,6585495,6564531,6645588,6539738,6635028,6576779,6492154,6601734,6574057,6504872,6545734,6502590,6522005,6402258
3,0,1,1,6722381,6697454,6578050,6621211,6553464,6606469,6597393,6575527,6657606,6552140,6647356,6588742,6504008,6614043,6585864,6517355,6557862,6515207,6534415,6414514
4,31,1,1,6710048,6684955,6566044,6608646,6541396,6594163,6584887,6563246,6645378,6538953,6635204,6576729,6492101,6601306,6572926,6504389,6544736,6502580,6521815,6402019
5,0,1,1,6722492,6697851,6579319,6621387,6553607,6606996,6597680,6576676,6658217,6552656,6649140,6590166,6505040,6614421,6586385,6517989,6558720,6515653,6535318,6415486
6,31,1,1,6710296,6684798,6566820,6608356,6541591,6593634,6585368,6563889,6645603,6539035,6635905,6577148,6492379,6601509,6573873,6504437,6545358,6503038,6522329,6402150
7,0,1,1,6722654,6698270,6579155,6621369,6554542,6606057,6597819,6576568,6658338,6552046,6649102,6589823,6505205,6614350,6587351,6517624,6558816,6516162,6534907,6414912
8,31,1,1,6711015,6685778,6566929,6609479,6542981,6594390,6585983,6564219,6646141,6539936,6636370,6577396,6493285,6601790,6574524,6504671,6546337,6503130,6522533,6403003
9,0,1,1,6723963,6698371,6579137,6621708,6554316,6607350,6598524,6576687,6659772,6553344,6649833,6590781,6505784,6614271,6587483,6517732,6559324,6516159,6535755,6415212
10,31,1,1,6711073,6685253,6566141,6608712,6541424,6594271,6585484,6564794,6646213,6539959,6636227,6577028,6492735,6601502,6573889,6504643,6545823,6502641,6522446,6402223
11,0,1,1,6723771,6697678,6579023,6620531,6554229,6606549,6598256,6577147,6659783,6553252,6650022,6590527,6505568,6614806,6587151,6518629,6559727,6516176,6535882,6415580
12,31,1,1,6711591,6685355,6567038,6608823,6542165,6593936,6585563,6565290,6647123,6540753,6637717,6577708,6493792,6602147,6574839,6505733,6546343,6503205,6522837,6402964
13,0,1,1,6723025,6697355,6579039,6621188,6554608,6606212,6598372,6577933,6658997,6553703,6649534,6590406,6505669,6614049,6587642,6518670,6558607,6516141,6535008,6415733
14,31,1,1,6710423,6685417,6567475,6608996,6543019,6593762,6586490,6565762,6646907,6540809,6636879,6577994,6493027,6601297,6575237,6505262,6545656,6503561,6522075,6403747
15,0,1,1,6722097,6696476,6579729,6620983,6554539,6606386,6598299,6577260,6659629,6552664,6649355,6590019,6504771,6614276,6587107,6517342,6557900,6516338,6534440,6415285
16,31,1,1,6710521,6685825,6567518,6609239,6542299,6594764,6587308,6565180,6647285,6541125,6636947,6577507,6492776,6601994,6574621,6505168,6545362,6503579,6522259,6402563
17,0,1,1,6722840,6697943,6579493,6621716,6554144,6608025,6598950,6577622,6659403,6553357,6650248,6590245,6505002,6613728,6587143,6517845,6559342,6516649,6535139,6415070
18,31,1,1,6709807,6685306,6566853,6609103,6542196,6594830,6585981,6564462,6646378,6540395,6637733,6576950,6492278,6600975,6573905,6505127,6546349,6503745,6523148,6402010
19,0,1,1,6722647,6697435,6579614,6621342,6554538,6607394,6598642,6577748,6659030,6552779,6650577,6590085,6505515,6613799,6586462,6517863,6559868,6516397,6536401,6415177
20,31,1,1,6709576,6683547,6565865,6608034,6541150,6593195,6585616,6564586,6645200,6538345,6636533,6575998,6492429,6600489,6573200,6503403,6544643,6502845,6522889,6401364
21,0,1,1,6723097,6697069,6579112,6621187,6554846,6606861,6598764,6577687,6659287,6552146,6650582,6590062,6505791,6614232,6587401,6517633,6558760,6516152,6535829,6415022
22,31,1,1,6709716,6683443,6565845,6608306,6541369,6593994,6585154,6564425,6645875,6538832,6636576,6576829,6492677,6600948,6573753,6504063,6545341,6502456,6521944,6401996
23,0,1,1,6722693,6695642,6578464,6621400,6554097,6607052,6597446,6577451,6658523,6552563,6649285,6590230,6504770,6613335,6586979,6517101,6558217,6515852,6535643,6414671
24,31,1,1,6710333,6683696,6566430,6608883,6541841,6594275,6585699,6565529,6645938,6539872,6636684,6576935,6492399,6600996,6573699,6504411,6545167,6502804,6523083,6402405
25,0,1,1,6722671,6695820,6578112,6621361,6554152,6606881,6598613,6577600,6658662,6552339,6649368,6589747,6504985,6613048,6586419,6517071,6558159,6515636,6535918,6415657
26,31,1,1,6709769,6683550,6565910,6608200,6541553,6594114,6585786,6564173,6645834,6539827,6636761,6576917,6492556,6600332,6573128,6502932,6544703,6502312,6522845,6402494
27,0,1,1,6722059,6695282,6577381,6620868,6553875,6606031,6597377,6576195,6658190,6551928,6649053,6589080,6504469,6612581,6585259,6516496,6558536,6514927,6535327,6415143
28,31,1,1,6710610,6683509,6566046,6609508,6541927,6593820,6585483,6563828,6645466,6539702,6636319,6577060,6492514,6600528,6572635,6503924,6544622,6502432,6522515,6403016
29,0,1,1,6722122,6695395,6577597,6621861,6554147,6606187,6598148,6577228,6658811,6552886,6649570,6589648,6505354,6613300,6584895,6517100,6557247,6514870,6535282,6414941
30,31,1,1,6710458,6683208,6566330,6609482,6542726,6594822,6585927,6564468,6646524,6540360,6637092,6576963,6493534,6601342,6573278,6504913,6544758,6502548,6522283,6402851
31,0,1,1,6724327,6697136,6579232,6623455,6555807,6608454,6599345,6577544,6660527,6553684,6650955,6590877,6506701,6614508,6587686,6518699,6559665,6515688,6536898,6416745
32,31,1,1,6710921,6683791,6565708,6610885,6541792,6594333,6585495,6564417,6647455,6540364,6636938,6577477,6493423,6600341,6573831,6504578,6545360,6502496,6522714,6403136
33,0,1,1,6721986,6695008,6576770,6621914,6553819,6606183,6597590,6576019,6658976,6552347,6649214,6589617,6504978,6612861,6586113,6516654,6557516,6514705,6535367,6415553
34,31,1,1,6709874,6682734,6564515,6609328,6542073,6594065,6585295,6564581,6646495,6539677,6636214,6576822,6492784,6599947,6573388,6503485,6544845,6501473,6521573,6403240
35,0,1,1,6721706,6694278,6576884,6621524,6554002,6605952,6597129,6577482,6659179,6552186,6648403,6588900,6505031,6612903,6586727,6516586,6557874,6514366,6534773,6415471
36,31,1,1,6710523,6683667,6565612,6608922,6542895,6593980,6585828,6565479,6646499,6540231,6636865,6577455,6493538,6600628,6573515,6504674,6544951,6502759,6522774,6403436
37,0,1,1,6723247,6696810,6577943,6622058,6554968,6607125,6598133,6577588,6659344,6553021,6650250,6589876,6506096,6612856,6587029,6517932,6557866,6515786,6535378,6416502
38,31,1,1,6710215,6684229,6564913,6609306,6542812,6594610,6585222,6565134,6646371,6540226,6636815,6577409,6493286,6600517,6573066,6504785,6544915,6503053,6522466,6404030
39,0,1,1,6722106,6696565,6577567,6621937,6554344,6605958,6597795,6576915,6658771,6553010,6648714,6589564,6504821,6613742,6585707,6517141,6558375,6515827,6535618,6416394
40,31,1,1,6709856,6683838,6565176,6610204,6542290,6593414,6585141,6564715,6646177,6539897,6635271,6576419,6491674,6599864,6572807,6504394,6545034,6502844,6521561,6404050
41,0,1,1,6722254,6696296,6578181,6622405,6554766,6606360,6597601,6577270,6658934,6551875,6648549,6589373,6504571,6613779,6585774,6517219,6558289,6516275,6534796,6416867
42,31,1,1,6710070,6683670,6565564,6609415,6541705,6592913,6585000,6564452,6646214,6539664,6635410,6576900,6492361,6600190,6573328,6503988,6545054,6502918,6521419,6404150
43,0,1,1,6722707,6696313,6578450,6622404,6554178,6605745,6597918,6576628,6659265,6552409,6648066,6590113,6505389,6612987,6586246,6517085,6557909,6516576,6535382,6416703
44,31,1,1,6710347,6684133,6565936,6610274,6542219,6593537,6585578,6564693,6646698,6539855,6635665,6577111,6493077,6600428,6574466,6504451,6544817,6503289,6522268,6403794
45,0,1,1,6723592,6697108,6578683,6623774,6555614,6606476,6599091,6578678,6660238,6552977,6650520,6590938,6506374,6614213,6587451,6518388,6559186,6517181,6535878,6417247
46,31,1,1,6710690,6684047,6565460,6610948,6542877,6593943,6586125,6565471,6647195,6540252,6636737,6577540,6493576,6600733,6573834,6505069,6545697,6504022,6522331,6404748
47,0,1,1,6722945,6696397,6578296,6622974,6555301,6606567,6598624,6577507,6659520,6552792,6648969,6589413,6505312,6613054,6585482,6517260,6557479,6516035,6534563,6417156
48,31,1,1,6711281,6684944,6567142,6611185,6544207,6594896,6586890,6565490,6647477,6540910,6636618,6577460,6493511,6600875,6575110,6505104,6544814,6503863,6523106,6404983
49,0,1,1,6723341,6697292,6579070,6623713,6555970,6607379,6599182,6578543,6660063,6552951,6650292,6590214,6506587,6614319,6587932,6517782,6557830,6517171,6536112,6417390
50,31,1,1,6710392,6684382,6566428,6610735,6542727,6594403,6585692,6565183,6645849,6539631,6636634,6577256,6493424,6600527,6574437,6504370,6544616,6503620,6522430,6404322
51,0,1,1,6722764,6697315,6578670,6623765,6555558,6607415,6597875,6577989,6659261,6552972,6649703,6590021,6505679,6613589,6586643,6517750,6558276,6516909,6535285,6417117
52,31,1,1,6710745,6685323,6566449,6610519,6542857,6594758,6586121,6565971,6646631,6540677,6637076,6577850,6493621,6601778,6574103,6504632,6545003,6503911,6521957,6405054
53,0,1,1,6721955,6696333,6577653,6622128,6554468,6605994,6597180,6577209,6658230,6552308,6648834,6589313,6505198,6613471,6586540,6516859,6557187,6515603,6533771,6416841
54,31,1,1,6710383,6684533,6566423,6610677,6543948,6594832,6586637,6566294,6646491,6540524,6637474,6578116,6493504,6601491,6575447,6505041,6545403,6503970,6522250,6404786
55,0,1,1,6724230,6697235,6579608,6623864,6556723,6607679,6599686,6579327,6660075,6554004,6650128,6590921,6507043,6615454,6588213,6518676,6558734,6517442,6536129,6417887
56,31,1,1,6710863,6684190,6566178,6610437,6543443,6594384,6585989,6565142,6646352,6540551,6635931,6577047,6493082,6601507,6574694,6504391,6544444,6503218,6522444,6403739
57,0,1,1,6723832,6696617,6578635,6623021,6555372,6607050,6598793,6578286,6659118,6553359,6648680,6590375,6505585,6614083,6588016,6517948,6557963,6516516,6535482,6416027
58,31,1,1,6710904,6683533,6565354,6609949,6541969,6594245,6585852,6565313,6645046,6539518,6635479,6577156,6492040,6601059,6574259,6504665,6544391,6503501,6521717,6402923
59,0,1,1,6723261,6695762,6577569,6621948,6554662,6606521,6598444,6578084,6658500,6553696,6647680,6589871,6504554,6613017,6587263,6518289,6557570,6516269,6534828,6416127
60,31,1,1,6710334,6683940,6565191,6609311,6541731,6593306,6585927,6565139,6645429,6540425,6635150,6577236,6492139,6600981,6573698,6505183,6544888,6503261,6521737,6404150
61,0,1,1,6721855,6695465,6577365,6621460,6553802,6604990,6597402,6576495,6657265,6552284,6646913,6589175,6503753,6612758,6585936,6517020,6556890,6515517,6533726,6415694
62,31,1,1,6710480,6684625,6566395,6610181,6542992,6593794,6585585,6565652,6645717,6540490,6635633,6577325,6492722,6601861,6574380,6505072,6545278,6504112,6522102,6404181
63,0,1,1,6722895,6696261,6577181,6621555,6554408,6605207,6598038,6577647,6657624,6552456,6648509,6589098,6504166,6613041,6586065,6516426,6556581,6516203,6533802,6415769
