rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6713549,6688021,6566748,6609289,6543691,6595982,6588744,6567137,6645294,6539241,6637547,6578178,6491439,6603453,6576493,6506007,6543174,6502272,6522425,6403386
1,0,0,0,6727104,6702843,6581402,6624385,6557665,6610417,6602088,6582246,6659756,6553486,6651578,6593057,6506115,6617429,6590828,6520847,6558265,6516625,6537299,6418331
2,31,0,0,6714630,6691113,6568727,6612913,6545713,6597993,6590835,6569801,6646935,6540687,6638493,6580593,6494064,6605466,6578304,6507957,6545569,6504220,6524473,6406370
3,0,0,0,6726635,6703250,6579739,6624212,6557309,6609463,6602292,6581406,6659133,6552508,6650379,6592419,6505704,6616669,6590372,6519917,6557212,6516253,6536701,6417682
4,31,0,0,6715307,6690689,6568069,6612007,6545730,6598116,6590921,6569063,6647240,6540327,6638023,6580531,6493868,6604105,6578237,6508434,6544637,6504108,6525092,6406675
5,0,0,0,6726761,6701998,6579936,6623889,6556749,6609562,6602768,6580976,6659498,6552141,6650534,6591978,6505323,6615453,6591679,6520518,6557197,6516517,6537076,6417644
6,31,0,0,6714611,6690059,6567430,6611194,6544252,6597271,6590813,6568496,6647623,6539633,6637491,6579749,6492809,6604477,6578174,6507835,6545146,6504159,6524687,6405304
7,0,0,0,6727302,6702657,6579645,6624209,6555955,6610034,6603073,6581302,6660213,6551999,6650839,6592171,6505093,6617543,6591273,6520615,6558380,6516445,6537298,6417603
8,31,0,0,6714817,6690292,6567804,6612532,6545015,6597432,6590630,6568608,6647430,6539384,6638327,6579697,6493271,6605358,6578333,6507964,6546058,6503656,6524562,6405270
9,0,0,0,6727615,6702810,6580012,6623958,6557483,6609501,6602350,6580893,6660059,6552345,6651347,6592851,6505906,6617920,6591758,6520769,6558570,6516295,6537378,6417350
10,31,0,0,6714115,6690453,6566540,6611222,6544492,6595991,6589239,6567868,6646787,6538483,6637556,6579023,6492726,6604571,6577287,6506849,6544757,6503054,6524205,6403996
11,0,0,0,6725943,6702595,6579114,6623895,6556254,6608466,6602293,6580730,6659489,6551176,6650098,6591681,6505407,6616726,6589760,6520013,6557569,6515847,6537332,6417082
12,31,0,0,6714071,6691546,6567877,6612647,6544663,6596077,6590808,6568421,6648077,6538784,6638216,6579931,6492786,6604690,6577651,6508135,6544949,6503653,6525090,6405236
13,0,0,0,6726702,6703890,6580044,6624096,6556476,6609100,6602942,6580709,6660455,6552196,6651261,6591981,6504857,6617221,6590293,6520768,6558194,6516315,6537971,6416764
14,31,0,0,6714568,6690737,6567973,6612092,6544416,6596381,6590384,6568389,6648030,6539651,6639126,6580108,6492993,6604518,6578324,6507572,6544349,6503151,6525019,6404612
15,0,0,0,6726312,6702564,6579495,6623842,6555946,6607672,6602100,6580175,6659748,6551686,6651215,6592049,6504470,6616352,6590387,6520279,6557149,6515376,6537446,6417552
16,31,0,0,6713871,6689729,6567172,6610964,6543878,6595039,6588972,6567607,6647450,6539597,6638304,6579394,6491427,6603510,6577243,6508431,6544891,6502745,6524333,6405521
17,0,0,0,6725644,6701858,6579711,6623429,6556432,6607597,6601483,6579710,6660171,6552096,6650750,6591986,6503809,6615623,6589098,6520782,6557272,6516180,6536380,6417352
18,31,0,0,6714254,6689982,6567948,6611422,6544916,6595372,6590279,6568005,6647784,6539046,6638457,6579648,6491815,6603678,6577271,6507836,6545136,6503994,6523344,6405020
19,0,0,0,6726216,6702148,6579483,6623470,6556048,6607189,6602731,6580088,6660469,6551137,6649894,6591744,6503927,6615388,6589495,6520433,6557015,6516640,6535807,6417286
20,31,0,0,6714741,6690142,6567939,6611938,6544485,6596139,6591000,6568417,6648664,6539982,6637815,6580031,6491969,6603842,6577338,6508309,6545085,6504498,6524489,6406174
21,0,0,0,6726599,6701908,6579970,6623755,6556842,6608702,6602110,6580610,6660657,6553168,6650653,6592521,6503750,6616277,6590018,6520824,6558066,6516763,6537233,6418314
