rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6722687,6694755,6575355,6613728,6548761,6601374,6596560,6572064,6652928,6545790,6644381,6582490,6498430,6611586,6582770,6512035,6553601,6507625,6530346,6408592
1,0,1,1,6734450,6706979,6587597,6626752,6561172,6613704,6609223,6585348,6665840,6559075,6657258,6595436,6511310,6625641,6595546,6526946,6566474,6520899,6543338,6421612
2,31,1,1,6723910,6695880,6576796,6615981,6550038,6602267,6598094,6573556,6654171,6547079,6645180,6584376,6499589,6614104,6583407,6514999,6554499,6509330,6531509,6410614
3,0,1,1,6735029,6706653,6587418,6627069,6560775,6612911,6608973,6585027,6665983,6558740,6657383,6595742,6511035,6624573,6594708,6526628,6566085,6520997,6542564,6421261
4,31,1,1,6722939,6694920,6575818,6615611,6548924,6601478,6597090,6573033,6653840,6546472,6645339,6583417,6499171,6612892,6582987,6514179,6553878,6508382,6530812,6409623
5,0,1,1,6735154,6706904,6587028,6627246,6560661,6613898,6608873,6585545,6665616,6558503,6657166,6595236,6511171,6624494,6595213,6526335,6566704,6520660,6543066,6421503
6,31,1,1,6724373,6696805,6576919,6616653,6549387,6602767,6598482,6574608,6654724,6547297,6645990,6584107,6500388,6613862,6584720,6514755,6555233,6509091,6531820,6410695
7,0,1,1,6735963,6708136,6587868,6627795,6561234,6614403,6610627,6586304,6665915,6559485,6658614,6596239,6512413,6625901,6597030,6527857,6567581,6521718,6544196,6422295
8,31,1,1,6723057,6696002,6576108,6615168,6549109,6601705,6598367,6573056,6653811,6546291,6645065,6583877,6499652,6613114,6584231,6514821,6554321,6508311,6531042,6409710
9,0,1,1,6735895,6708290,6588397,6628198,6561855,6614587,6610645,6585760,6666339,6559205,6657978,6596610,6512992,6626159,6597392,6528229,6566852,6521589,6544911,6422401
10,31,1,1,6723321,6696313,6576753,6617092,6549482,6602096,6598910,6573797,6653650,6547393,6645076,6583996,6501097,6613793,6584672,6515668,6555260,6509294,6532313,6410345
11,0,1,1,6735815,6708492,6588837,6629388,6561153,6614872,6610722,6585677,6666113,6559836,6657699,6596248,6513152,6626001,6597877,6528137,6568071,6521825,6545001,6422694
12,31,1,1,6723697,6696378,6576682,6616473,6549547,6602931,6597837,6573728,6653797,6547163,6645371,6583608,6500511,6613370,6583996,6514512,6554084,6508781,6532558,6409498
13,0,1,1,6736354,6707814,6589005,6628525,6562190,6615212,6610713,6586152,6666353,6560032,6658405,6595927,6512949,6625834,6597361,6528112,6567013,6521631,6545141,6422700
14,31,1,1,6723284,6695297,6576195,6615584,6549503,6602669,6598245,6573159,6653450,6546534,6644789,6582721,6500019,6612439,6584301,6514387,6554533,6508391,6531462,6410281
15,0,1,1,6735946,6708340,6588502,6627792,6561619,6615184,6610273,6585604,6666501,6559573,6657625,6595684,6512711,6625834,6596788,6528185,6567223,6521533,6544714,6422908
16,31,1,1,6722534,6695606,6575913,6614516,6548862,6602080,6597751,6572616,6653265,6546797,6643805,6582478,6499333,6612715,6582917,6514603,6554449,6508267,6531358,6409651
17,0,1,1,6736712,6708732,6589041,6628373,6562374,6615224,6610789,6585757,6667237,6560209,6657586,6596214,6512927,6625971,6597468,6528180,6568353,6521765,6544084,6423381
18,31,1,1,6723734,6695420,6575982,6615321,6549023,6601947,6597731,6572635,6654253,6546474,6644414,6583048,6500093,6612958,6583394,6514874,6554996,6508557,6531223,6410761
19,0,1,1,6736045,6707619,6588459,6628865,6561905,6615590,6610994,6585969,6667228,6559911,6658450,6596536,6513393,6624964,6596294,6528139,6568027,6522238,6545182,6423132
20,31,1,1,6723252,6695132,6575518,6616422,6549055,6602329,6598065,6573049,6653935,6547527,6645003,6583538,6501039,6612470,6583194,6514092,6554514,6508566,6532865,6410241
21,0,1,1,6735750,6708476,6587761,6629218,6561234,6614553,6610419,6585959,6666801,6559538,6657800,6596247,6513442,6624867,6595698,6527057,6567564,6521492,6544532,6422880
22,31,1,1,6723636,6696785,6575660,6616921,6549971,6602638,6598229,6573686,6655132,6547542,6645479,6583846,6501080,6613195,6584160,6514891,6555574,6508865,6531777,6410129
23,0,1,1,6735120,6708417,6587215,6628897,6561049,6614233,6609317,6585447,6666985,6559292,6656892,6595356,6512279,6625706,6596230,6526417,6567898,6520675,6543801,6421059
24,31,1,1,6721904,6696330,6574771,6615541,6548799,6602102,6597163,6572966,6654131,6546361,6643529,6582777,6500168,6613048,6583202,6513282,6554494,6507231,6530895,6408701
25,0,1,1,6734333,6708492,6586748,6627737,6561179,6613945,6609918,6585799,6666526,6558585,6656504,6595195,6512928,6625590,6595887,6526558,6567350,6520412,6544659,6421169
26,31,1,1,6721514,6695338,6575024,6615117,6548773,6601509,6597516,6572530,6653790,6545694,6644083,6582685,6500148,6612052,6583179,6513204,6553891,6507464,6531674,6407857
27,0,1,1,6734758,6706986,6587012,6628163,6561327,6613902,6609833,6585264,6666510,6558154,6657539,6595675,6511823,6624828,6596086,6526365,6567304,6520536,6544198,6421304
