+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[21]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[7]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[11]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[3]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[31]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[12]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[16]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[24]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[14]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[8]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[19]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[17]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[28]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[27]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[18]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[9]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[13]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[10]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[25]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[26]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[0]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[6]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[1]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[4]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[29]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[5]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[15]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[20]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                                ro_clock_INST/mmcm_comp_count_reg_reg[2]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[22]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[30]/D|
| clk_out1_clk_wiz_ro_clock |                      clk |                                                               ro_clock_INST/mmcm_comp_count_reg_reg[23]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
